ID	Individual	sex	genus	species	size	flight	node	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42	ProcCoord43	ProcCoord44	ProcCoord45	ProcCoord46	ProcCoord47	ProcCoord48	ProcCoord49	ProcCoord50	ProcCoord51	ProcCoord52	ProcCoord53	ProcCoord54	ProcCoord55	ProcCoord56	ProcCoord57	ProcCoord58	ProcCoord59	ProcCoord60	ProcCoord61	ProcCoord62	ProcCoord63	ProcCoord64	ProcCoord65	ProcCoord66	ProcCoord67	ProcCoord68	ProcCoord69	ProcCoord70	ProcCoord71	ProcCoord72	ProcCoord73	ProcCoord74	ProcCoord75	ProcCoord76	ProcCoord77	ProcCoord78	ProcCoord79	ProcCoord80	ProcCoord81	ProcCoord82	ProcCoord83	ProcCoord84	ProcCoord85	ProcCoord86	ProcCoord87	ProcCoord88
1	PB13-0001	M	Morpho	hercules	21.2479	can	23	-0.1566228	0.1514395	-0.1699812	0.1307994	-0.1587252	0.0954792	-0.1381432	0.0590258	-0.127977	0.0190262	-0.1165122	-0.0289769	-0.0995064	-0.0760956	-0.0795413	-0.1112297	-0.1003868	0.1462432	0.0473772	0.0720728	0.0354022	0.0754147	0.0080688	0.0727749	-0.0132944	0.0485977	0.0562875	-0.0074419	0.1115533	-0.0415181	0.1970329	-0.083424	0.2083628	-0.0765561	0.2012329	-0.0920988	-0.162779	0.1083495	-0.149513	0.0790931	-0.1325145	0.0441517	-0.1168325	-0.0056675	-0.1073002	-0.0573515	-0.0903669	-0.1034328	-0.1163337	0.1547636	-0.0769054	0.1486958	-0.0383642	0.1354204	-0.0004272	0.1191945	0.0354559	0.0979176	0.0698587	0.0723457	0.1016862	0.0426798	0.1325622	0.0113077	0.1636825	-0.0192319	0.1929748	-0.0485568	-0.058051	-0.1209587	-0.0324653	-0.1217219	-0.0062995	-0.1203135	0.0197749	-0.1172397	0.0457504	-0.1142278	0.0718858	-0.1120736	0.098129	-0.1099221	0.1243989	-0.1081982	0.1504308	-0.1060835	0.1769352	-0.1024719
2	PB13-0002	M	Morpho	hercules	19.55057	can	23	-0.1562329	0.148436	-0.1724776	0.1249801	-0.1589082	0.0904894	-0.141634	0.0585102	-0.1270601	0.0211526	-0.1210559	-0.0296755	-0.1095151	-0.0741527	-0.0912519	-0.1031292	-0.0879137	0.1393693	0.0535871	0.0690687	0.0407022	0.0710962	0.0126125	0.0678481	-0.0128738	0.0438077	0.0554564	-0.0099963	0.1098712	-0.0413635	0.1995559	-0.0842597	0.2094258	-0.077022	0.2018122	-0.0931128	-0.167412	0.1062377	-0.1520625	0.0772786	-0.1343465	0.0437887	-0.120425	-0.006414	-0.1129708	-0.0590644	-0.0951745	-0.1053727	-0.1151939	0.152466	-0.0768329	0.144503	-0.0379967	0.1327225	0.0005989	0.1186103	0.0375637	0.0994216	0.0732009	0.0752853	0.1070893	0.047639	0.1385429	0.0168217	0.1680699	-0.015256	0.1971602	-0.0461555	-0.0568963	-0.1155622	-0.0322978	-0.1164597	-0.0065971	-0.1160302	0.019291	-0.1145566	0.0452008	-0.1124528	0.0712958	-0.1103543	0.0974263	-0.1075386	0.1235019	-0.1054363	0.1494008	-0.1043526	0.1757634	-0.1018149
3	PB13-0003	M	Morpho	hercules	19.22108	can	23	-0.1549539	0.1475409	-0.1680804	0.1250342	-0.1576257	0.0914634	-0.1418894	0.0568054	-0.1280869	0.0182881	-0.1183465	-0.0351155	-0.1068971	-0.0817222	-0.0837614	-0.11928	-0.0965049	0.14653	0.0605869	0.0667512	0.048402	0.071012	0.0170371	0.0738042	-0.0109065	0.047948	0.0527234	-0.0023467	0.1119468	-0.0398803	0.1950095	-0.0850057	0.2067365	-0.0766999	0.1989865	-0.0950885	-0.1626138	0.1067616	-0.1498957	0.0771587	-0.1362253	0.0419135	-0.1216054	-0.0076206	-0.1123655	-0.059959	-0.0983171	-0.1086064	-0.1159111	0.1545632	-0.0759282	0.15111	-0.0357216	0.1414531	0.0026243	0.1246001	0.0383684	0.1020863	0.0712298	0.074206	0.1022406	0.0437012	0.1322295	0.0119073	0.1614902	-0.0201523	0.1889565	-0.0505587	-0.0583153	-0.1234546	-0.0322937	-0.1203649	-0.0064138	-0.1156644	0.0195383	-0.1117073	0.0453864	-0.1080002	0.07146	-0.1047726	0.0977197	-0.1027959	0.1239187	-0.1020781	0.1497796	-0.1020738	0.1762882	-0.1016908
4	PB13-0004	F	Morpho	hercules	19.20168	can	23	-0.154294	0.1493328	-0.1671409	0.1278337	-0.1565176	0.0936605	-0.1400612	0.05824	-0.1289664	0.0186274	-0.1223428	-0.029827	-0.1105781	-0.0773435	-0.0893553	-0.1131076	-0.0826113	0.1402745	0.0546227	0.068632	0.0422293	0.0710561	0.0121355	0.067986	-0.0056932	0.043575	0.0471428	-0.0041655	0.1016254	-0.0361	0.1987982	-0.0785745	0.2088287	-0.0707532	0.2040624	-0.0878302	-0.1623021	0.108053	-0.1492907	0.0785568	-0.1340795	0.0437483	-0.1214125	-0.0065025	-0.1148924	-0.0594817	-0.099328	-0.1078817	-0.1151798	0.1531032	-0.0763415	0.1465869	-0.0374711	0.1350142	0.000707	0.119507	0.0377699	0.1003301	0.0720096	0.0743435	0.1048428	0.0456417	0.1365333	0.0154121	0.1661514	-0.0163733	0.195365	-0.0460402	-0.0587588	-0.1232672	-0.032549	-0.1214072	-0.0064035	-0.1190291	0.0196383	-0.1175005	0.0455498	-0.1147411	0.0716337	-0.1120296	0.0976185	-0.1083655	0.1236291	-0.10591	0.1492979	-0.1030879	0.1753782	-0.1001958
5	PB13-0005	F	Morpho	hercules	20.40705	can	23	-0.161038	0.1416507	-0.1737341	0.1210182	-0.1606953	0.0891318	-0.1411098	0.0568146	-0.1266186	0.01979	-0.1227838	-0.0259475	-0.1117161	-0.0737218	-0.0886112	-0.1046272	-0.0944926	0.1397678	0.0548572	0.0707856	0.0396941	0.0727779	0.0140354	0.0683891	-0.0081956	0.0430297	0.0509314	-0.0055639	0.1062603	-0.0390325	0.1973837	-0.0846167	0.2106478	-0.0807799	0.1984045	-0.0965083	-0.1689077	0.1052609	-0.1524973	0.0764588	-0.1325461	0.044127	-0.1188871	-0.0066125	-0.1141423	-0.0597666	-0.0923217	-0.1035268	-0.113977	0.148927	-0.0751482	0.1457616	-0.0357083	0.1364358	0.0032423	0.1224628	0.0402158	0.1020862	0.0753744	0.0765397	0.1084633	0.0476123	0.1398857	0.016601	0.1690152	-0.016188	0.1954105	-0.0488057	-0.056861	-0.114272	-0.0323501	-0.1149557	-0.0065958	-0.1136127	0.0194544	-0.1115619	0.0454687	-0.1101966	0.0715616	-0.108608	0.0977731	-0.1074797	0.1239858	-0.1070577	0.1499296	-0.1064094	0.1769429	-0.1055772
6	PB13-0006	M	Morpho	hercules	18.71588	can	23	-0.1571814	0.1410156	-0.1688743	0.1203122	-0.1577273	0.0915408	-0.1426528	0.0598642	-0.1302643	0.025291	-0.1195357	-0.027054	-0.1074743	-0.0740409	-0.0900448	-0.1066557	-0.0972481	0.1393294	0.0585646	0.0688279	0.0452651	0.0726528	0.0123418	0.0719609	-0.0133658	0.0467103	0.0506146	-0.0001883	0.1209459	-0.040008	0.2004184	-0.0843464	0.2135605	-0.0765294	0.202066	-0.0949349	-0.1643174	0.1082174	-0.150764	0.0787614	-0.135716	0.0438817	-0.1211918	-0.0060716	-0.1108467	-0.0581661	-0.0979609	-0.1065877	-0.1152337	0.1475107	-0.0769663	0.1423734	-0.0378634	0.1333829	0.0003635	0.1189389	0.0373254	0.0996551	0.0721745	0.0743405	0.1052247	0.0457032	0.1366792	0.0149928	0.1666358	-0.0166817	0.1956706	-0.0467906	-0.0586455	-0.1167824	-0.0335363	-0.1158089	-0.0075957	-0.114819	0.0183748	-0.1132884	0.044338	-0.1116078	0.0704547	-0.1099348	0.0966876	-0.1082724	0.1229038	-0.1068542	0.148802	-0.1054512	0.1755951	-0.1043885
7	PB13-0007	M	Morpho	hercules	20.43008	can	23	-0.159163	0.1454506	-0.1701368	0.120813	-0.1574005	0.090264	-0.138925	0.0562574	-0.1263614	0.0196524	-0.1192993	-0.0288049	-0.1070516	-0.0740128	-0.0871122	-0.1088888	-0.0995618	0.1427822	0.0556988	0.0715188	0.0435232	0.0739853	0.0157365	0.0720229	-0.0072693	0.0466064	0.0586372	-0.0049809	0.1145991	-0.040782	0.1974139	-0.0844397	0.2097757	-0.0755286	0.2008826	-0.0945023	-0.164477	0.1073562	-0.1507148	0.0782281	-0.1325693	0.0443826	-0.118024	-0.0061925	-0.1107442	-0.0584478	-0.0939179	-0.1045556	-0.116712	0.1517393	-0.0774679	0.147478	-0.0378397	0.1379965	0.0011299	0.1238529	0.0380017	0.1032742	0.0723313	0.0767957	0.1033966	0.0460867	0.1327969	0.0136191	0.1620488	-0.0186336	0.1910422	-0.0478814	-0.058697	-0.1205935	-0.0332555	-0.120397	-0.0073666	-0.1177888	0.0185906	-0.1149925	0.0444902	-0.1125379	0.0705088	-0.1105022	0.0966231	-0.1086774	0.1227227	-0.1072944	0.1486666	-0.1061386	0.1754505	-0.1035891
8	PB13-0008	M	Morpho	hercules	20.00419	can	23	-0.1601944	0.1474522	-0.1711352	0.1267494	-0.1597629	0.0955279	-0.1419266	0.0618832	-0.1274743	0.0219244	-0.1172292	-0.0301461	-0.1100768	-0.0730404	-0.091743	-0.1109214	-0.0957594	0.1401802	0.0559268	0.066321	0.0456613	0.0688085	0.0311262	0.0658361	-0.0065883	0.0420701	0.056737	-0.0074909	0.1116995	-0.0403346	0.2018778	-0.0816342	0.2129864	-0.0740305	0.2049155	-0.0901414	-0.1655346	0.1081863	-0.1512313	0.0789823	-0.1342709	0.0446376	-0.1168339	-0.0052176	-0.1117996	-0.0588242	-0.1028429	-0.1091486	-0.1168001	0.150042	-0.0784496	0.1425418	-0.0395342	0.1318577	-0.001459	0.1169043	0.0354593	0.0979595	0.0704701	0.0732752	0.103534	0.0448095	0.1349533	0.0140774	0.1651382	-0.0174326	0.1942911	-0.0470145	-0.0594944	-0.1196859	-0.0339151	-0.1174903	-0.00799	-0.1144831	0.0181101	-0.1114907	0.0442393	-0.1090522	0.0704638	-0.1072356	0.0967667	-0.1055949	0.1230548	-0.1044051	0.1490622	-0.1035197	0.1755723	-0.1016922
9	PB13-0009	M	Morpho	hercules	20.11037	can	23	-0.1627923	0.1445663	-0.1685394	0.1248343	-0.1580612	0.0955573	-0.139242	0.0618709	-0.1269674	0.0212498	-0.119537	-0.0317292	-0.1070196	-0.0740292	-0.0907481	-0.1075174	-0.0973462	0.1405081	0.0563912	0.0668056	0.0468938	0.0693063	0.0163635	0.066599	-0.009187	0.0419316	0.0554599	-0.0064169	0.1209514	-0.0417435	0.199858	-0.0826353	0.2130393	-0.0760992	0.2030335	-0.0920816	-0.1646904	0.1081903	-0.1490215	0.0800814	-0.1320008	0.0451011	-0.1195276	-0.005943	-0.1126572	-0.0584367	-0.096048	-0.1054908	-0.1168769	0.1506704	-0.0781749	0.1448968	-0.0391545	0.1345327	-0.0009498	0.1195687	0.0357644	0.0998676	0.0702731	0.0742734	0.1028317	0.0452337	0.1343031	0.0146524	0.1653306	-0.0157537	0.195647	-0.0448213	-0.0592913	-0.1187533	-0.0340343	-0.1170216	-0.0080318	-0.1152974	0.0180022	-0.1136132	0.0439567	-0.1119969	0.0700596	-0.1105673	0.0963114	-0.108646	0.1225026	-0.1065146	0.1483403	-0.1042129	0.174586	-0.1009767
10	PB13-0011	F	Morpho	hercules	20.0818	can	23	-0.1542066	0.1425379	-0.1635416	0.1239965	-0.1571043	0.0945896	-0.141758	0.0580402	-0.1303868	0.0203137	-0.1270112	-0.0235324	-0.1191589	-0.0669094	-0.0950532	-0.1023405	-0.0931571	0.1346197	0.0561084	0.0647314	0.0419609	0.06806	0.0121571	0.0651415	-0.0095461	0.0424379	0.0521638	-0.0058391	0.1155817	-0.0395738	0.2058377	-0.0815116	0.2173961	-0.075235	0.2080924	-0.09351	-0.1610287	0.1098648	-0.1519482	0.0788702	-0.1350422	0.0446489	-0.1253546	-0.0060739	-0.1209471	-0.059963	-0.0979019	-0.106289	-0.1154343	0.1469416	-0.0780188	0.1398869	-0.039789	0.1282552	-0.0017052	0.1136528	0.0353356	0.095312	0.071564	0.0726698	0.1066926	0.0469847	0.1400969	0.0182679	0.1715805	-0.0125018	0.2000151	-0.0443704	-0.057511	-0.1143807	-0.0327651	-0.1145839	-0.0071868	-0.1137214	0.0187425	-0.1118019	0.0447833	-0.1100705	0.070961	-0.1083277	0.0972604	-0.1067944	0.1235525	-0.105508	0.1495296	-0.1041144	0.1761447	-0.1028699
11	PB13-0012	F	Morpho	hercules	18.8397	can	23	-0.1505724	0.1460913	-0.1567826	0.1253999	-0.1467265	0.0966941	-0.1359327	0.0576772	-0.1301552	0.0180439	-0.126116	-0.0333509	-0.1147849	-0.0842397	-0.089914	-0.1218016	-0.0931404	0.147711	0.055797	0.069284	0.0413562	0.0733498	0.0139347	0.0704459	-0.0095825	0.0440215	0.0502075	-0.0048124	0.0997786	-0.032863	0.1950232	-0.0737355	0.2087282	-0.0669706	0.19947	-0.0833121	-0.1513914	0.1112639	-0.13989	0.0804413	-0.1295348	0.043857	-0.1228639	-0.0069333	-0.1193897	-0.0604956	-0.1034215	-0.1103597	-0.1162979	0.1565661	-0.0762141	0.1514324	-0.037171	0.1388496	0.000916	0.1224243	0.0377968	0.1022747	0.0722382	0.0762949	0.1034134	0.0458556	0.134929	0.0156124	0.1654367	-0.0150865	0.1935021	-0.0453468	-0.060723	-0.1308311	-0.032861	-0.1322167	-0.0057218	-0.1288455	0.0202492	-0.1238106	0.0457983	-0.1187506	0.0713602	-0.1134048	0.0968015	-0.1079579	0.1222465	-0.1033861	0.1476068	-0.0999507	0.1725972	-0.0951289
12	PB13-0013	F	Morpho	hercules	19.92898	can	23	-0.1641058	0.1464014	-0.1703617	0.1264825	-0.1583549	0.094001	-0.1393796	0.0583821	-0.1251803	0.0195043	-0.1238517	-0.0256421	-0.1060742	-0.071011	-0.081896	-0.1079662	-0.0950867	0.1402309	0.0490651	0.0704397	0.0356252	0.0730805	0.0069378	0.0705777	-0.0134941	0.046421	0.0483766	-0.0049634	0.1016202	-0.0375581	0.203374	-0.0875167	0.217213	-0.0813274	0.2055985	-0.0965446	-0.1645862	0.1075551	-0.150988	0.0777964	-0.132228	0.0443726	-0.1221649	-0.0068492	-0.1122349	-0.0592966	-0.0901053	-0.102983	-0.1144647	0.1511195	-0.0759579	0.1440128	-0.0370185	0.1332289	0.0006706	0.1173614	0.0367794	0.0964979	0.072018	0.0719151	0.1049632	0.0432571	0.1373499	0.0135213	0.1680802	-0.0175689	0.1955739	-0.0489358	-0.0572755	-0.1146693	-0.0324063	-0.114335	-0.0064078	-0.1122189	0.0199849	-0.1103143	0.04612	-0.1098232	0.0722325	-0.1091334	0.0985144	-0.1076969	0.1247836	-0.1074132	0.1509522	-0.1073255	0.17779	-0.1050662
13	PB13-0014	M	Morpho	hercules	19.34705	can	23	-0.1604754	0.1488888	-0.169388	0.1292426	-0.1574927	0.0976258	-0.1381475	0.0613115	-0.1230813	0.0217059	-0.1132561	-0.0331777	-0.1025661	-0.0770563	-0.0852409	-0.1119424	-0.1055123	0.146341	0.0505085	0.0679142	0.0404284	0.070896	0.0109683	0.0706041	-0.0100772	0.0457574	0.0628051	-0.0107279	0.115788	-0.0425193	0.1956919	-0.0824559	0.2107275	-0.0753105	0.195943	-0.0948372	-0.1634259	0.1079427	-0.1496756	0.0788408	-0.132136	0.0446236	-0.1168683	-0.006029	-0.1094633	-0.0586212	-0.0952085	-0.1061288	-0.1167685	0.1564141	-0.0774668	0.1482107	-0.0386649	0.1356229	-0.0006105	0.1195971	0.0358457	0.0991752	0.0705479	0.0738698	0.1028244	0.0445819	0.1338441	0.0135604	0.1637461	-0.0181197	0.1925409	-0.0478314	-0.0586303	-0.1208747	-0.032923	-0.1215103	-0.0068205	-0.1190883	0.019241	-0.1164231	0.0452075	-0.1135152	0.0712586	-0.1101168	0.09733	-0.1067456	0.1234692	-0.1049801	0.1494235	-0.1038574	0.1757599	-0.1008574
14	PB13-0015	M	Morpho	hercules	20.17449	can	23	-0.1561989	0.1461092	-0.1640702	0.1264383	-0.1541286	0.0956048	-0.1408188	0.0605572	-0.128924	0.0247656	-0.1199785	-0.0249577	-0.1084886	-0.0692445	-0.093941	-0.1052327	-0.0876778	0.1384786	0.0463064	0.0693604	0.0347315	0.0720805	0.0028903	0.0705866	-0.0124796	0.0442584	0.0532932	-0.0072778	0.1109312	-0.0381708	0.2045393	-0.0798288	0.2169747	-0.0733418	0.2081551	-0.0887709	-0.1593379	0.1105364	-0.147976	0.0803036	-0.1345939	0.044606	-0.1207401	-0.0058662	-0.1126826	-0.0587181	-0.0982612	-0.1071914	-0.1154651	0.1512004	-0.0770926	0.1439682	-0.0383313	0.1329472	-0.0008757	0.1169116	0.0348952	0.0957906	0.0697499	0.0708371	0.1027504	0.0423197	0.1352338	0.0126897	0.166692	-0.0174434	0.1971533	-0.0458227	-0.058652	-0.1228777	-0.0327827	-0.1233678	-0.0065038	-0.1219651	0.0196919	-0.1187557	0.0457425	-0.1152152	0.0718165	-0.1112313	0.0979518	-0.107487	0.1240452	-0.1040794	0.150008	-0.1023124	0.1764489	-0.1011915
15	PB13-0016	M	Morpho	hercules	20.41093	can	23	-0.1555705	0.1468969	-0.1655879	0.1299418	-0.1569026	0.096796	-0.1383164	0.0621123	-0.1260636	0.024015	-0.1184587	-0.0306838	-0.1127215	-0.0771005	-0.0897487	-0.1103784	-0.0942491	0.1417897	0.0508766	0.0683995	0.0387426	0.0723613	0.0104721	0.0721053	-0.0132516	0.0459691	0.0579087	-0.0099369	0.1132922	-0.0420415	0.2011484	-0.0818616	0.2121282	-0.0697945	0.2039873	-0.0905837	-0.1621036	0.1084558	-0.1479435	0.0798247	-0.1307821	0.0449449	-0.1187866	-0.0063749	-0.1160972	-0.0599839	-0.0991772	-0.1086843	-0.1162484	0.1523362	-0.0776324	0.1453536	-0.0391141	0.1331385	-0.0013386	0.1174183	0.0344547	0.0964887	0.0691269	0.0714756	0.1018392	0.0429214	0.1333702	0.0124	0.164629	-0.0179188	0.1943064	-0.0465468	-0.0577185	-0.1198125	-0.0320551	-0.1194767	-0.0059786	-0.1176379	0.0200667	-0.1145239	0.0461254	-0.1125728	0.0722733	-0.1101601	0.0984982	-0.1077155	0.1246706	-0.1056782	0.150772	-0.1046445	0.1771579	-0.1010327
16	PB13-0017	F	Morpho	hercules	18.71653	can	23	-0.1569111	0.1438581	-0.1682584	0.1258329	-0.1580076	0.0957243	-0.1428685	0.0611684	-0.1319416	0.0220051	-0.1260192	-0.0248581	-0.1129139	-0.0699358	-0.087505	-0.1100593	-0.090403	0.1367852	0.0530561	0.0682721	0.0371111	0.0724158	0.0094914	0.0696461	-0.0089148	0.0407787	0.0566903	-0.0073052	0.1152313	-0.0407566	0.2030328	-0.0834765	0.2154288	-0.0767648	0.2045536	-0.0939841	-0.1630662	0.1083114	-0.1492303	0.0789649	-0.1342813	0.0440018	-0.123556	-0.006598	-0.1151969	-0.0596017	-0.0961421	-0.1060711	-0.1150327	0.1460894	-0.0766287	0.1415294	-0.0377029	0.1318209	0.0008221	0.1185134	0.037434	0.0990117	0.0721514	0.0737223	0.1049917	0.0450078	0.1361795	0.0141306	0.1665193	-0.0171011	0.1949937	-0.0472787	-0.0581606	-0.1192496	-0.0329503	-0.1172136	-0.0068933	-0.1135586	0.0193909	-0.1109164	0.0454764	-0.1090217	0.0715946	-0.1076315	0.0978032	-0.1054854	0.1240037	-0.1037753	0.149958	-0.1038729	0.176671	-0.1030742
17	PB13-0018	F	Morpho	hercules	16.45855	can	23	-0.1644786	0.1450346	-0.1715684	0.1261318	-0.1581992	0.0944496	-0.1427062	0.0593575	-0.1271333	0.0202255	-0.1180197	-0.0259789	-0.1080828	-0.0701473	-0.0874221	-0.1031255	-0.0940707	0.1405758	0.0547672	0.0678974	0.0408558	0.0724656	0.010349	0.0708858	-0.0084784	0.0491252	0.0502995	-0.003108	0.1058961	-0.0398814	0.1991718	-0.0867507	0.2124163	-0.0743707	0.209193	-0.0980447	-0.1641422	0.1079748	-0.1505582	0.0785476	-0.1347074	0.0439706	-0.1191298	-0.0059098	-0.1096643	-0.0583372	-0.0917939	-0.1034589	-0.1158601	0.1509488	-0.0780859	0.1423699	-0.039511	0.1305904	-0.0013407	0.1157654	0.0357474	0.0972884	0.0716314	0.0741682	0.1050415	0.0462442	0.136717	0.0158241	0.1660879	-0.0164617	0.1926007	-0.0482289	-0.0562514	-0.1143359	-0.03172	-0.115997	-0.0060127	-0.1162138	0.0199296	-0.1147804	0.0459422	-0.1133847	0.0720341	-0.1105273	0.0981454	-0.1084231	0.1242125	-0.1074289	0.15018	-0.1076941	0.1777188	-0.1072521
18	PB13-0021	F	Morpho	hercules	15.8506	can	23	-0.1644276	0.1457578	-0.1718529	0.125529	-0.1592647	0.0960782	-0.1413066	0.0617891	-0.1270336	0.0230986	-0.1184831	-0.0273009	-0.1066689	-0.0709359	-0.07747	-0.1133619	-0.0999512	0.1438742	0.05243	0.0670573	0.0374821	0.0717054	0.0119057	0.0715975	-0.0090468	0.0455867	0.0539531	-0.0059584	0.1107774	-0.0413006	0.1987603	-0.0859072	0.2101955	-0.0802144	0.2041231	-0.0970628	-0.164699	0.1075299	-0.1484834	0.0794227	-0.1317035	0.0446944	-0.1170874	-0.0061564	-0.1090516	-0.0586303	-0.0908434	-0.1033697	-0.1164326	0.1537794	-0.0772735	0.1474543	-0.0385659	0.1352927	-0.0007899	0.1187689	0.0359021	0.098927	0.070326	0.0733987	0.1028411	0.0444532	0.133353	0.0130817	0.1618365	-0.0199964	0.1897016	-0.05041	-0.0577381	-0.1204833	-0.0321222	-0.1193396	-0.0059642	-0.1153424	0.0202578	-0.112014	0.046382	-0.1093165	0.0725813	-0.1078815	0.0988463	-0.1068276	0.125065	-0.1060614	0.1511622	-0.1063002	0.1783777	-0.1047051
19	PB13-0023	M	Morpho	hercules	19.17064	can	23	-0.1634838	0.1452872	-0.1708927	0.122679	-0.154459	0.0905714	-0.1377232	0.0582361	-0.1271551	0.0209331	-0.1241124	-0.0312282	-0.116428	-0.0738721	-0.0847213	-0.1189503	-0.0866503	0.1424047	0.0585254	0.0674226	0.045299	0.0716351	0.0188826	0.068572	-0.0028232	0.044308	0.0638786	-0.0074779	0.1156156	-0.0395272	0.1957368	-0.0832998	0.2074878	-0.0746943	0.1998902	-0.0933232	-0.1638948	0.1068968	-0.1479798	0.0789019	-0.1302108	0.0442993	-0.1227497	-0.0072014	-0.1190448	-0.0607305	-0.1016299	-0.1104005	-0.1165631	0.1541688	-0.0770632	0.1489056	-0.0375524	0.1383407	0.0011279	0.1234096	0.0373678	0.1020305	0.0719259	0.0762285	0.1024701	0.0452629	0.1318142	0.0128428	0.1609522	-0.0195278	0.1893513	-0.04912	-0.0586377	-0.1258973	-0.0321646	-0.1226269	-0.0066761	-0.1164681	0.0190754	-0.1107278	0.0452072	-0.1072036	0.0713525	-0.1049148	0.0975267	-0.1033752	0.123659	-0.1015822	0.1495392	-0.1012908	0.1759306	-0.099897
20	PB13-0024	M	Morpho	hercules	18.95581	can	23	-0.1615506	0.1441005	-0.1723524	0.1218917	-0.1593044	0.0928196	-0.1414297	0.0581467	-0.1272744	0.0200903	-0.1199492	-0.0312141	-0.1099815	-0.0757223	-0.087505	-0.1134986	-0.0886139	0.1413237	0.0575987	0.0699538	0.0472691	0.0725167	0.0200531	0.071973	-0.0018772	0.0446923	0.0637803	-0.0074453	0.1172269	-0.0390572	0.1927636	-0.0824836	0.2062709	-0.0759184	0.1956366	-0.0943248	-0.1660555	0.1068017	-0.1510524	0.0781372	-0.1347538	0.0436947	-0.1183366	-0.0063262	-0.1124091	-0.0591882	-0.0985084	-0.1074745	-0.1167271	0.1520969	-0.0775711	0.1471444	-0.0381505	0.1370219	0.0005694	0.122366	0.0379578	0.1029884	0.072722	0.0770345	0.1044454	0.0468178	0.1346108	0.0149114	0.1636203	-0.0175768	0.190706	-0.0488182	-0.0593659	-0.1231413	-0.0334599	-0.1204745	-0.0075462	-0.1159313	0.0186355	-0.112859	0.0446568	-0.110501	0.070769	-0.108794	0.0969203	-0.1060894	0.1230568	-0.1044331	0.1489956	-0.1037369	0.17551	-0.1015144
21	PB13-0025	M	Morpho	hercules	17.35744	can	23	-0.1609611	0.144687	-0.171452	0.1265702	-0.1604316	0.0942168	-0.1433979	0.0621991	-0.1288942	0.0227859	-0.1165897	-0.0272836	-0.1087908	-0.0734332	-0.0824294	-0.113258	-0.0900552	0.141305	0.0589329	0.0674988	0.0439088	0.0722478	0.0149427	0.070884	-0.0042232	0.0463906	0.0621771	-0.0041057	0.1144812	-0.0371461	0.1987363	-0.0817063	0.2082804	-0.0757747	0.200349	-0.0919728	-0.1671874	0.1062578	-0.1515365	0.0773961	-0.1360776	0.0430009	-0.1191273	-0.005996	-0.1117347	-0.0589102	-0.0964541	-0.1061831	-0.1156852	0.1502144	-0.0766873	0.1464754	-0.0373096	0.1370559	0.0008999	0.121884	0.0363207	0.0997358	0.070612	0.0739557	0.1020694	0.0441402	0.1318573	0.012254	0.1609739	-0.0200243	0.18911	-0.049834	-0.0584869	-0.1223763	-0.0325527	-0.1207646	-0.0065145	-0.1169857	0.0194915	-0.1136933	0.0454123	-0.1115438	0.0714112	-0.1096931	0.0975197	-0.1081249	0.1236802	-0.1068076	0.1496263	-0.1048807	0.1757864	-0.100657
22	PB13-0026	M	Morpho	hercules	18.08232	can	23	-0.163187	0.147038	-0.1692403	0.1261922	-0.1573459	0.0972936	-0.1397624	0.0623065	-0.1266348	0.0232046	-0.1168763	-0.0275595	-0.1057526	-0.0712214	-0.0883697	-0.113681	-0.0950233	0.1433443	0.0512424	0.067161	0.0418138	0.0697804	0.0137145	0.0688765	-0.0032409	0.0443225	0.0613211	-0.0083071	0.1125773	-0.0402903	0.2002948	-0.0832199	0.2114491	-0.0757453	0.2030727	-0.0932007	-0.1640573	0.1083299	-0.1488101	0.0797648	-0.133056	0.0445802	-0.1186175	-0.0059769	-0.1102652	-0.0586094	-0.1002547	-0.1084882	-0.1169307	0.1538779	-0.0781823	0.1461947	-0.0397032	0.1334067	-0.0014769	0.1180193	0.0352273	0.0984866	0.0699669	0.0736627	0.1013554	0.0435881	0.1319889	0.0120592	0.1620808	-0.0196983	0.1915496	-0.0485116	-0.0587291	-0.1236859	-0.0324748	-0.1221369	-0.0064535	-0.1177421	0.0196071	-0.1137083	0.0456515	-0.1104359	0.0718168	-0.1076595	0.0980577	-0.1048392	0.1243138	-0.1029753	0.1503699	-0.1028639	0.176973	-0.1009327
