ID	Individual	sex	genus	species	size	flight	node	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42	ProcCoord43	ProcCoord44	ProcCoord45	ProcCoord46	ProcCoord47	ProcCoord48	ProcCoord49	ProcCoord50	ProcCoord51	ProcCoord52	ProcCoord53	ProcCoord54	ProcCoord55	ProcCoord56	ProcCoord57	ProcCoord58	ProcCoord59	ProcCoord60	ProcCoord61	ProcCoord62	ProcCoord63	ProcCoord64	ProcCoord65	ProcCoord66	ProcCoord67	ProcCoord68	ProcCoord69	ProcCoord70	ProcCoord71	ProcCoord72	ProcCoord73	ProcCoord74	ProcCoord75	ProcCoord76	ProcCoord77	ProcCoord78	ProcCoord79	ProcCoord80	ProcCoord81	ProcCoord82	ProcCoord83	ProcCoord84	ProcCoord85	ProcCoord86	ProcCoord87	ProcCoord88
674	PB13-0786	F	Morpho	achilles	18.90219	under	8	-0.1522824	0.1421772	-0.1647337	0.1149171	-0.1594972	0.0890521	-0.1460533	0.0520209	-0.13285	0.0113025	-0.1236621	-0.037207	-0.1151039	-0.0846941	-0.089128	-0.1244056	-0.071068	0.1424052	0.0715125	0.0688452	0.0650459	0.0706014	0.0270961	0.067197	-0.0020392	0.0467965	0.0468104	-0.0011751	0.1019895	-0.0366392	0.1874581	-0.0785665	0.1970718	-0.0740522	0.1906798	-0.0886469	-0.1636842	0.1063373	-0.1519525	0.0764304	-0.1365529	0.0422331	-0.1233379	-0.0072028	-0.1163415	-0.0595504	-0.1033652	-0.1098082	-0.1159678	0.1541382	-0.0758494	0.1534373	-0.0349904	0.1455237	0.0049876	0.1310883	0.0429638	0.1103233	0.0781038	0.0834946	0.1101877	0.0528684	0.138894	0.0194307	0.1653862	-0.0150039	0.1869199	-0.0498738	-0.0610703	-0.1329866	-0.032803	-0.1293157	-0.0067987	-0.1235544	0.0185369	-0.1176159	0.0434712	-0.1110495	0.0688793	-0.1058202	0.0946817	-0.1017024	0.1206885	-0.0996378	0.1461852	-0.0976893	0.1715814	-0.0944227
675	PB13-0787	M	Morpho	achilles	16.24122	under	8	-0.149561	0.138228	-0.1613047	0.1161539	-0.158884	0.0840579	-0.1480732	0.0489806	-0.1375171	0.0102604	-0.1241824	-0.035369	-0.1161273	-0.0801525	-0.0946716	-0.1182518	-0.0733348	0.1395619	0.0665669	0.0724956	0.0613433	0.0740252	0.0184135	0.0685379	-0.0028793	0.049659	0.0495055	0.0027727	0.1060941	-0.0361787	0.1934142	-0.0837518	0.2016251	-0.0782332	0.1951183	-0.0919796	-0.1613177	0.1072312	-0.1551923	0.0756835	-0.142093	0.0409766	-0.1272451	-0.0083289	-0.1160851	-0.0592359	-0.1041759	-0.1096369	-0.1132366	0.1489761	-0.0742854	0.1497487	-0.033801	0.142215	0.0052929	0.1268768	0.0425478	0.1063774	0.0785204	0.0815656	0.1117858	0.0523592	0.1422422	0.0200714	0.169025	-0.0147144	0.1908589	-0.0499944	-0.0604504	-0.1282927	-0.033462	-0.123662	-0.007723	-0.1190961	0.0175261	-0.113465	0.0427519	-0.1079091	0.0684948	-0.1032184	0.0946812	-0.1003821	0.1209043	-0.0987396	0.1466315	-0.0987782	0.1722591	-0.0974442
676	PB13-0788	M	Morpho	achilles	16.53134	under	8	-0.1475846	0.1386556	-0.160179	0.1134699	-0.1562462	0.0822412	-0.142454	0.0468248	-0.1307757	0.0108391	-0.1240128	-0.0331526	-0.1151564	-0.0807462	-0.0995334	-0.1163394	-0.0743964	0.1393369	0.06016	0.0778821	0.0583805	0.0778384	0.0214962	0.0695381	-0.0024344	0.0467565	0.0444167	0.0047687	0.1056583	-0.0367197	0.1921686	-0.0809542	0.2012422	-0.0742911	0.1936561	-0.087767	-0.1603126	0.1076086	-0.1532352	0.0763409	-0.1389155	0.0419599	-0.1258358	-0.0069536	-0.1182143	-0.0592789	-0.1046386	-0.1084495	-0.1136443	0.1496547	-0.0746749	0.1496481	-0.0341882	0.1426813	0.0060066	0.1294026	0.0434988	0.1082297	0.079068	0.0826186	0.1122034	0.0534784	0.1436808	0.0222055	0.171882	-0.012429	0.1927455	-0.0491715	-0.0642215	-0.1348565	-0.0342135	-0.1300262	-0.0080475	-0.1230683	0.0171533	-0.1167941	0.0423479	-0.1112651	0.0680648	-0.1075124	0.0939338	-0.1044661	0.1197756	-0.1020451	0.1451458	-0.0996797	0.1702298	-0.0960134
677	PB13-0789	M	Morpho	achilles	17.07567	under	8	-0.1533038	0.1364239	-0.1643421	0.1169471	-0.1596145	0.0874814	-0.146119	0.0535511	-0.1339898	0.0150192	-0.1236259	-0.0355488	-0.1138293	-0.0794319	-0.0895018	-0.1137886	-0.0800598	0.1371778	0.0604234	0.0745885	0.0564886	0.075608	0.0166273	0.0660756	-0.0019319	0.047611	0.0447726	0.0044684	0.1085408	-0.0383405	0.1928618	-0.0848893	0.2031627	-0.0790285	0.1971581	-0.0945319	-0.1643084	0.1072077	-0.152825	0.0765686	-0.1393939	0.0418374	-0.1252113	-0.0071883	-0.1168969	-0.0594927	-0.0999511	-0.1076717	-0.1134426	0.1476414	-0.0749937	0.1473867	-0.0349572	0.1400102	0.0048876	0.1272328	0.0426039	0.1069564	0.0779972	0.0810412	0.1104167	0.0511434	0.1408439	0.0193798	0.1696374	-0.0137323	0.1926626	-0.0488895	-0.059564	-0.1236926	-0.0334648	-0.1199479	-0.007725	-0.1162716	0.0179462	-0.1121779	0.0437068	-0.1088716	0.0696142	-0.1057583	0.0957246	-0.103872	0.1217809	-0.1033119	0.1475387	-0.1036863	0.173656	-0.1012334
678	PB13-0790	M	Morpho	achilles	16.10359	under	8	-0.1479076	0.132975	-0.1614702	0.113165	-0.1589007	0.0819696	-0.1492378	0.0486384	-0.1383094	0.0109736	-0.1316542	-0.0329834	-0.1246737	-0.0744201	-0.1005142	-0.1114795	-0.0834732	0.1335223	0.0748411	0.0664971	0.0708508	0.0672767	0.0254097	0.0646278	0.0073768	0.0472763	0.0531918	0.0054625	0.1164867	-0.0361732	0.1894232	-0.078791	0.2069583	-0.0759497	0.1961985	-0.0915192	-0.161706	0.1079635	-0.1552748	0.076638	-0.1438188	0.0411022	-0.132436	-0.0077198	-0.1259138	-0.0604225	-0.104847	-0.1097004	-0.1128499	0.1424599	-0.0753433	0.1439938	-0.0355668	0.1383536	0.0043165	0.1266085	0.0428834	0.1081245	0.0795761	0.0835187	0.1130234	0.0541941	0.1445465	0.0224294	0.1717716	-0.0127703	0.1942145	-0.0481889	-0.0606655	-0.1216388	-0.0347903	-0.1182363	-0.0092033	-0.1148223	0.0164234	-0.1113052	0.0421203	-0.1079869	0.0679964	-0.1051136	0.0939758	-0.1022429	0.120084	-0.1003119	0.1456822	-0.0996582	0.1712053	-0.0963365
679	PB13-0791	M	Morpho	achilles	16.96464	under	8	-0.1535824	0.135176	-0.1624176	0.1127899	-0.1587754	0.083488	-0.1483622	0.0507128	-0.1390429	0.0124022	-0.1298189	-0.0338714	-0.1177122	-0.0807611	-0.0912194	-0.1149424	-0.0658261	0.137632	0.0679082	0.0705017	0.0636261	0.0702863	0.0299538	0.0659711	-0.0024659	0.0480821	0.038166	0.0059715	0.0999155	-0.0356398	0.1938519	-0.0826587	0.2027001	-0.075936	0.1966669	-0.091254	-0.1612634	0.1071598	-0.1530886	0.0763466	-0.1410417	0.0415092	-0.1281211	-0.0079091	-0.1197548	-0.0603383	-0.100212	-0.1077532	-0.1138651	0.1499904	-0.0749589	0.1497088	-0.034309	0.1431339	0.0051986	0.1283215	0.0428137	0.1079392	0.0785698	0.0823278	0.1108828	0.0522887	0.1417955	0.0209761	0.1702518	-0.0127574	0.1923071	-0.0484744	-0.0608676	-0.1282749	-0.0334437	-0.125262	-0.0075544	-0.1204188	0.0175294	-0.1139144	0.0428671	-0.1086297	0.0686027	-0.1042098	0.0947548	-0.1015034	0.1208857	-0.1007206	0.1464566	-0.1003536	0.1719991	-0.0971326
680	PB13-0792	M	Morpho	achilles	16.42706	under	8	-0.1456724	0.1388299	-0.1656273	0.1160421	-0.1612746	0.0888501	-0.1491003	0.0538697	-0.1345789	0.0141252	-0.1237252	-0.0331358	-0.1139062	-0.0842474	-0.0884173	-0.1184241	-0.0780826	0.1386195	0.0673774	0.0726513	0.0633799	0.0728079	0.0278112	0.0671659	-0.0023284	0.0483356	0.047386	0.0018632	0.109045	-0.0399875	0.1897732	-0.0807812	0.1994514	-0.0755798	0.1929332	-0.0900645	-0.1647876	0.1067493	-0.1553924	0.0755932	-0.1415957	0.0406815	-0.1252246	-0.0071558	-0.1171591	-0.0590891	-0.1017512	-0.1083948	-0.1137321	0.1484787	-0.0749618	0.1493634	-0.0347059	0.1418394	0.0047279	0.127834	0.0430598	0.1087057	0.0784766	0.0824424	0.1107989	0.052375	0.1405562	0.0198243	0.1673312	-0.0145599	0.1897824	-0.0493231	-0.0608503	-0.1280377	-0.0334573	-0.126312	-0.0075752	-0.1207784	0.0178154	-0.1155992	0.0430458	-0.1101763	0.0687399	-0.1063769	0.0945714	-0.1031201	0.1204431	-0.1008882	0.1459434	-0.0989187	0.1714574	-0.0960966
681	PB13-0793	M	Morpho	achilles	16.84231	under	8	-0.1398704	0.1403921	-0.1583761	0.1194943	-0.1576682	0.0888414	-0.1471281	0.0509928	-0.1379152	0.0098429	-0.1292023	-0.038994	-0.1162688	-0.0805452	-0.094524	-0.1169182	-0.0760627	0.1389465	0.0682399	0.0699687	0.0640855	0.0700487	0.0218787	0.0666901	-0.0052137	0.047591	0.0442165	0.0056867	0.1072499	-0.0337859	0.1934924	-0.0764438	0.2007729	-0.0702775	0.1958834	-0.0855279	-0.1589659	0.1075432	-0.1523725	0.0769537	-0.141776	0.041827	-0.1307539	-0.0077743	-0.1210216	-0.0604492	-0.1033291	-0.1084866	-0.1133849	0.1483242	-0.0745919	0.1486378	-0.0349972	0.1391969	0.0043544	0.1259125	0.0425214	0.1071074	0.0782008	0.0817788	0.1114132	0.0529435	0.1425257	0.0215263	0.1704004	-0.01272	0.1921094	-0.0485323	-0.0619839	-0.1305037	-0.0338332	-0.1276737	-0.007647	-0.1229278	0.0178786	-0.1179212	0.0431563	-0.1128139	0.0686275	-0.1082897	0.0942439	-0.104183	0.1199878	-0.1010045	0.1454333	-0.099359	0.1702146	-0.0951153
682	PB13-0794	M	Morpho	achilles	15.76187	under	8	-0.1501618	0.134391	-0.1666119	0.1152034	-0.1632811	0.083268	-0.1488677	0.0497197	-0.1359418	0.0119273	-0.1252877	-0.0317846	-0.1174395	-0.0770754	-0.0937266	-0.1123797	-0.0718322	0.1366657	0.0695204	0.0699183	0.0662177	0.0707933	0.0304227	0.0648726	0.0033236	0.0475225	0.0543598	-0.0010284	0.1055642	-0.0370305	0.1928453	-0.0812755	0.2020201	-0.07617	0.1951979	-0.0904549	-0.1679196	0.106894	-0.1587986	0.0738511	-0.1443042	0.0401509	-0.1280782	-0.0076736	-0.1197801	-0.0592398	-0.1033502	-0.1088038	-0.1128275	0.146002	-0.0747338	0.1479315	-0.0342027	0.1426367	0.0055268	0.1286857	0.0436823	0.1088794	0.0788221	0.0822943	0.1111108	0.0523718	0.1414969	0.0204772	0.1691932	-0.013446	0.1920464	-0.0485741	-0.0603445	-0.1232295	-0.034152	-0.1207729	-0.008426	-0.1175927	0.0170925	-0.1136607	0.0424448	-0.1090097	0.0681105	-0.1049349	0.0940945	-0.1020896	0.1201444	-0.1007497	0.1457056	-0.1003137	0.1711251	-0.0971668
683	PB13-0795	M	Morpho	achilles	15.04141	under	8	-0.149558	0.1324136	-0.1617657	0.1120385	-0.1584159	0.0839737	-0.1461096	0.0511245	-0.1344002	0.0126712	-0.125377	-0.0342691	-0.117078	-0.0788837	-0.0962192	-0.1148826	-0.0781468	0.1375838	0.0655376	0.074423	0.0637605	0.0749559	0.0256319	0.0695355	0.0005196	0.0484495	0.0482257	0.0045802	0.1046064	-0.0349384	0.1957901	-0.0843475	0.2037047	-0.0774559	0.1977144	-0.0930527	-0.1623129	0.107483	-0.1540826	0.0763715	-0.1409486	0.0416392	-0.1266852	-0.0071869	-0.1185244	-0.0593308	-0.1046141	-0.1092466	-0.1132709	0.1440476	-0.0756654	0.1472176	-0.0352745	0.1424979	0.0050242	0.1298218	0.0433805	0.1097204	0.0787192	0.0829543	0.1104908	0.0522552	0.1406637	0.0202143	0.1684191	-0.0135856	0.1919427	-0.0482231	-0.0614403	-0.1271171	-0.0344094	-0.1234809	-0.0086956	-0.1184025	0.0168354	-0.1138855	0.0422942	-0.1093137	0.0680175	-0.1053466	0.0939969	-0.1021435	0.120125	-0.1007257	0.1458383	-0.1006051	0.171756	-0.0995486
