eugenia,marcus,anaxibia,cypris,rhetenor,cisseis,hecuba,niepelti,theseus,hercules,amphitryon,telemachus,polyphemus,granadensis,achilles,helenor,deidamia,epistrophus,iphitus,amathonte,godartii,menelaus,zephyritis,lympharis,sulkowskyi,aega,portis,rhodopteron,absoloni,aurora
-0.732626,-0.8136525,-0.7706685000000001,-0.792158,-0.8567985,-0.7111204999999999,-0.7745970000000001,-0.7717275,-0.800115,-0.7831140000000001,-0.8696729999999999,-0.7573385,-0.780863,-0.7466295000000001,-0.7512595,-0.7127865,-0.7698309999999999,-0.7253999999999999,-0.7379445,-0.820124,-0.8272105000000001,-0.8013480000000001,-0.738917,-0.6792719999999999,-0.707986,-0.7098985,-0.716406,-0.6992379999999999,-0.7743485,-0.7917945
0.7544295,0.7522785,0.7110905,0.7863779999999999,0.68303,0.829799,0.8216809999999999,0.78261,0.788491,0.7571975,0.765173,0.7581095,0.6950635,0.691492,0.6679219999999999,0.706621,0.7426820000000001,0.7369125,0.6940014999999999,0.693425,0.7100025,0.685209,0.7887575,0.7848489999999999,0.792576,0.8044925,0.752616,0.7526135,0.746453,0.7634185
-0.8169385,-0.858333,-0.8616655,-0.8541285,-0.8874565,-0.7811785,-0.821739,-0.8234805000000001,-0.8289230000000001,-0.849906,-0.875169,-0.8039725,-0.8339924999999999,-0.795974,-0.8152379999999999,-0.7876420000000001,-0.8451525,-0.818318,-0.824352,-0.8732795,-0.8924635000000001,-0.8517035000000001,-0.800936,-0.7826655,-0.7698355,-0.811505,-0.807926,-0.7732074999999999,-0.8703424999999999,-0.845028
0.6375925,0.6046195,0.6170140000000001,0.6677080000000001,0.603283,0.7015795,0.6979734999999999,0.690431,0.6871670000000001,0.653997,0.655491,0.640652,0.609608,0.599738,0.574201,0.6032975,0.644547,0.6103245,0.5637305,0.595271,0.5909425,0.5974775,0.6895055,0.645999,0.6759035,0.6765125,0.6084740000000001,0.6232675,0.6315824999999999,0.6415664999999999
-0.7727934999999999,-0.737606,-0.7674015,-0.7474735,-0.7481195,-0.7295174999999999,-0.7479165,-0.7294734999999999,-0.71812,-0.747565,-0.7141,-0.7194135,-0.7613105,-0.769516,-0.7628754999999999,-0.7710445,-0.7355430000000001,-0.7717005,-0.7756019999999999,-0.7715225000000001,-0.761612,-0.7614135,-0.7130975,-0.7465529999999999,-0.738603,-0.755416,-0.7563979999999999,-0.728483,-0.7642105,-0.725549
0.3746025,0.39094850000000003,0.37382350000000003,0.3885515,0.4009345,0.3858125,0.386398,0.392833,0.39673100000000006,0.3954655,0.4106215,0.39753950000000005,0.37332350000000003,0.3781925,0.383637,0.385215,0.3893055,0.3757055,0.37503050000000004,0.37618949999999995,0.3774505,0.383116,0.39701149999999996,0.3793615,0.382676,0.37782299999999996,0.38050649999999997,0.385337,0.3687725,0.39429899999999996
-0.6870345,-0.6511555,-0.6577040000000001,-0.6446544999999999,-0.611186,-0.6973825,-0.710151,-0.682156,-0.6650105000000001,-0.6625725,-0.639962,-0.6624325,-0.6517620000000001,-0.695284,-0.698082,-0.712681,-0.6492439999999999,-0.688566,-0.6928305,-0.6664485,-0.6349870000000001,-0.6576905,-0.6503684999999999,-0.7159359999999999,-0.6970235,-0.6856595,-0.7084005,-0.682754,-0.6448255,-0.6336735
0.20538649999999997,0.22078899999999999,0.22103899999999999,0.226758,0.241368,0.20581249999999998,0.20306999999999997,0.2118585,0.2137865,0.22075850000000002,0.2230445,0.21566849999999999,0.218092,0.203325,0.20899,0.20310899999999998,0.217112,0.207292,0.208739,0.221151,0.23603200000000002,0.225071,0.21726700000000002,0.20365250000000001,0.2022255,0.204723,0.2030835,0.207485,0.22340849999999998,0.2211135
-0.604715,-0.552986,-0.5951730000000001,-0.5543560000000001,-0.5764509999999999,-0.637643,-0.6393709999999999,-0.627032,-0.5988405,-0.5841625,-0.5816,-0.613549,-0.5895874999999999,-0.6151825,-0.6371165,-0.6367395,-0.5779025,-0.62401,-0.6446580000000001,-0.5696734999999999,-0.5338985,-0.537045,-0.5793735,-0.6717035,-0.6346989999999999,-0.6165244999999999,-0.6480130000000001,-0.6369095,-0.5526845,-0.5609109999999999
-0.0362655,-0.0273785,-0.0339485,-0.028519000000000003,-0.0340215,-0.043219499999999994,-0.0459985,-0.0386105,-0.038191,-0.028337499999999998,-0.034093,-0.0387765,-0.035921999999999996,-0.036704,-0.038238999999999995,-0.04421,-0.033989,-0.036482,-0.033827,-0.0237845,-0.023829,-0.016554,-0.033944499999999996,-0.050645,-0.045862,-0.04302399999999999,-0.04462050000000001,-0.043729,-0.0278695,-0.0310195
