28.1 27.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27.3 28.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 28 10.9 10.9 7.2 7.2 7.2 7.2 7.2 7.2 7.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 10.9 28.1 22.1 7.2 7.2 7.2 7.2 7.2 7.2 7.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 10.9 22.1 28.1 7.2 7.2 7.2 7.2 7.2 7.2 7.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 7.2 7.2 7.2 28 21.8 13.5 13.5 13.5 13.5 13.5 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 7.2 7.2 7.2 21.8 28 13.5 13.5 13.5 13.5 13.5 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 7.2 7.2 7.2 13.5 13.5 28.1 24 20.5 20.5 20.5 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 7.2 7.2 7.2 13.5 13.5 24 28.1 20.5 20.5 20.5 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 7.2 7.2 7.2 13.5 13.5 20.5 20.5 28.1 22.2 22.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 7.2 7.2 7.2 13.5 13.5 20.5 20.5 22.2 28.1 23.9 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 7.2 7.2 7.2 13.5 13.5 20.5 20.5 22.2 23.9 28.1 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 28 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2 7.2
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 28 16.7 16.7 11.3 11.3 11.3 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 16.7 28 24.4 11.3 11.3 11.3 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 16.7 24.4 28 11.3 11.3 11.3 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 11.3 11.3 11.3 27.9 16 16 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 11.3 11.3 11.3 16 27.9 27.1 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 11.3 11.3 11.3 16 27.1 27.9 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5 8.5
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 8.5 8.5 8.5 8.5 8.5 8.5 28.1 21.1 21.1 10.8 10.8 10.8 10.8 10.8 10.8 10.8 10.8
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 8.5 8.5 8.5 8.5 8.5 8.5 21.1 28.1 26.1 10.8 10.8 10.8 10.8 10.8 10.8 10.8 10.8
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 8.5 8.5 8.5 8.5 8.5 8.5 21.1 26.1 28.1 10.8 10.8 10.8 10.8 10.8 10.8 10.8 10.8
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 8.5 8.5 8.5 8.5 8.5 8.5 10.8 10.8 10.8 28 16.2 16.2 14.2 14.2 14.2 14.2 14.2
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 8.5 8.5 8.5 8.5 8.5 8.5 10.8 10.8 10.8 16.2 28 21.6 14.2 14.2 14.2 14.2 14.2
0 0 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 7.2 8.5 8.5 8.5 8.5 8.5 8.5 10.8 10.8 10.8 16.2 21.6 28 14.2 14.2 14.2 14.2 14.2
