ID	Individual	sex	genus	species	size	flight	node	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42	ProcCoord43	ProcCoord44	ProcCoord45	ProcCoord46	ProcCoord47	ProcCoord48	ProcCoord49	ProcCoord50	ProcCoord51	ProcCoord52	ProcCoord53	ProcCoord54	ProcCoord55	ProcCoord56	ProcCoord57	ProcCoord58
475	PB13-0585	M	Morpho	iphitus	11.90918	under	6	0.1545912	0.0188377	0.1664999	-0.0378857	0.1470229	-0.0960672	0.1122494	-0.1509549	0.0745288	-0.2030221	0.019127	-0.249321	-0.0502941	-0.2697467	-0.1957525	0.1570679	-0.1708329	0.1445627	-0.2042141	0.1219017	-0.0824902	0.089164	-0.0668982	0.0703781	-0.1433547	0.0381808	-0.0774412	-0.0195826	0.1603375	-0.0531106	0.1326927	-0.1196125	0.0937325	-0.1741224	0.0423972	-0.2280077	-0.0195883	-0.2623391	0.1290969	0.0499413	0.1040033	0.0736556	0.0753523	0.0944653	0.0441523	0.1118581	0.0110857	0.1257309	-0.0228071	0.1376731	-0.0569096	0.1477491	-0.0908416	0.1564142	-0.1252854	0.1618285	-0.1601596	0.1643633
476	PB13-0586	M	Morpho	iphitus	11.2871	under	6	0.153801	0.0347361	0.1663794	-0.0228434	0.1504491	-0.0869004	0.1154338	-0.1560049	0.0697885	-0.2101669	0.0070305	-0.258134	-0.07228	-0.2658849	-0.1926652	0.1516066	-0.1663357	0.1373108	-0.1988331	0.1160149	-0.0783886	0.0866641	-0.0634169	0.0705346	-0.1406156	0.0297318	-0.0834178	-0.0223382	0.1576678	-0.0530576	0.1327562	-0.1201188	0.0946933	-0.1763422	0.040683	-0.2276978	-0.0213728	-0.2623808	0.1366664	0.056823	0.110056	0.081633	0.078628	0.100709	0.0459917	0.1162263	0.0122235	0.1287761	-0.0222881	0.1390266	-0.057021	0.1460126	-0.0911971	0.1522642	-0.1253403	0.1560137	-0.1590759	0.1577864
477	PB13-0587	M	Morpho	iphitus	12.07247	under	6	0.1545412	0.0294785	0.1682453	-0.0296233	0.1611244	-0.0924626	0.1185343	-0.1545491	0.0681141	-0.2049294	0.0058424	-0.2493613	-0.058105	-0.2681345	-0.1912675	0.1538022	-0.1684023	0.1402304	-0.198074	0.117845	-0.087401	0.0860424	-0.07745	0.0743428	-0.1448068	0.0398226	-0.0816038	-0.015472	0.1649558	-0.0536835	0.1419076	-0.1263902	0.0941823	-0.175445	0.0384189	-0.2231409	-0.0211858	-0.2586902	0.1329486	0.0531903	0.1060833	0.0759658	0.0755858	0.0945587	0.0434731	0.1098103	0.0105226	0.123397	-0.0234301	0.1347472	-0.0572165	0.1454334	-0.0910199	0.153698	-0.1251584	0.1589447	-0.1593586	0.1605727
478	PB13-0589	F	Morpho	iphitus	10.93019	under	6	0.1541596	0.0212437	0.167141	-0.0321364	0.159767	-0.0925211	0.1275613	-0.1489472	0.0733169	-0.204817	0.0074982	-0.25221	-0.0646193	-0.2602026	-0.1942252	0.1583827	-0.1726922	0.1440145	-0.207039	0.1217163	-0.0794068	0.0860721	-0.0675414	0.0732394	-0.1410282	0.0297594	-0.0846773	-0.0193088	0.1642546	-0.0528678	0.1415691	-0.1239893	0.0958803	-0.1761477	0.0390864	-0.2230327	-0.0205184	-0.2558077	0.1286979	0.0498966	0.1027435	0.0725871	0.0738607	0.0927049	0.043066	0.1101782	0.0103614	0.1243307	-0.0234012	0.1362041	-0.0573415	0.1463688	-0.0912064	0.1544699	-0.1254962	0.1587096	-0.1597709	0.1621102
479	PB13-0590	F	Morpho	iphitus	11.14291	under	6	0.1472336	0.015188	0.1603139	-0.0353474	0.1487537	-0.088935	0.1183788	-0.1557766	0.077408	-0.2061179	0.0244373	-0.2529412	-0.0546344	-0.2605542	-0.2044725	0.1607197	-0.1776511	0.1508738	-0.2091075	0.1278321	-0.0668141	0.0867345	-0.0550523	0.0712995	-0.1339548	0.0297625	-0.0725867	-0.0194516	0.1558197	-0.0513709	0.1365284	-0.1202833	0.0973347	-0.1767287	0.0445743	-0.2300724	-0.0193511	-0.2619743	0.1231805	0.0454457	0.0985173	0.0682494	0.0709878	0.0892999	0.0412307	0.107864	0.0092577	0.1233924	-0.0242206	0.1362684	-0.057659	0.1482881	-0.0909385	0.1594922	-0.1254728	0.1670618	-0.1620407	0.1717817
480	PB13-0591	F	Morpho	iphitus	12.44836	under	6	0.161249	0.0053854	0.1690088	-0.0353869	0.1523226	-0.0970635	0.1155946	-0.1483598	0.0795826	-0.200372	0.0224835	-0.2475676	-0.0474015	-0.2639209	-0.1992248	0.161582	-0.1752797	0.146895	-0.2108613	0.1224357	-0.0944655	0.0926915	-0.0783649	0.0782663	-0.1391969	0.0397176	-0.0765519	-0.011142	0.1627947	-0.054077	0.1343737	-0.1206699	0.093337	-0.1736841	0.0402472	-0.2246385	-0.0189751	-0.259898	0.1297135	0.0480638	0.1030457	0.0692184	0.0736334	0.0878652	0.0426719	0.104388	0.0104039	0.1190269	-0.0228006	0.132297	-0.0558469	0.1448836	-0.0895194	0.1539664	-0.1234897	0.1611485	-0.158484	0.1689488
481	PB13-0592	F	Morpho	iphitus	13.2615	under	6	0.1412137	0.0427033	0.163339	-0.0323989	0.1526722	-0.1026957	0.1169172	-0.1600305	0.0708659	-0.2075295	0.0113341	-0.2539202	-0.0659424	-0.2657014	-0.1918916	0.1572715	-0.1678079	0.1427525	-0.2023733	0.1211961	-0.0717421	0.0831133	-0.0578069	0.0678264	-0.1346203	0.033944	-0.0732824	-0.0195004	0.160684	-0.0520497	0.139535	-0.1237765	0.098005	-0.1791541	0.0400028	-0.2258619	-0.0212862	-0.2598822	0.131674	0.0557653	0.1055547	0.0803183	0.0747176	0.0995917	0.0418308	0.1134562	0.008461	0.1260208	-0.0257414	0.1366261	-0.0599448	0.1458992	-0.0939635	0.1533118	-0.1280068	0.1592406	-0.1623972	0.163464
482	PB13-0593	F	Morpho	iphitus	12.30114	under	6	0.156286	0.0098752	0.1728263	-0.0421029	0.1573249	-0.0932284	0.1179414	-0.1472492	0.0723228	-0.2021449	0.0163888	-0.2508833	-0.0383002	-0.2607602	-0.206119	0.1627612	-0.1754298	0.1504146	-0.2112264	0.1284355	-0.0805347	0.0865998	-0.0667245	0.0714594	-0.1389484	0.0324879	-0.0787119	-0.0180968	0.1666454	-0.0547612	0.1347743	-0.1208855	0.091525	-0.1721842	0.0391894	-0.2240984	-0.0200874	-0.2552684	0.125597	0.0456684	0.1002423	0.0681402	0.0715168	0.0875381	0.0412549	0.1054012	0.0096358	0.1215071	-0.0234266	0.1351836	-0.0572868	0.1460922	-0.0909687	0.1558088	-0.1250943	0.1630857	-0.1606123	0.1712047
483	PB13-0594	M	Morpho	iphitus	12.85607	under	6	0.1518084	0.025857	0.1669736	-0.032834	0.1508774	-0.0936372	0.1139673	-0.1543507	0.0694339	-0.2092205	0.0162636	-0.2552819	-0.0609097	-0.2616755	-0.1913813	0.152333	-0.1643447	0.1403883	-0.1982568	0.1172635	-0.0886456	0.0898419	-0.072792	0.0763617	-0.140329	0.0362661	-0.0811943	-0.0159042	0.1601712	-0.0531713	0.1364459	-0.1221829	0.0948264	-0.1756314	0.0419531	-0.228198	-0.0204346	-0.2638437	0.1328342	0.0538006	0.1073048	0.0786174	0.0766961	0.0978493	0.0449436	0.1145722	0.0116278	0.1283943	-0.0227989	0.1390647	-0.0573433	0.147373	-0.0917181	0.1525019	-0.1260444	0.1559522	-0.1599346	0.1594941
484	PB13-0595	M	Morpho	iphitus	12.14896	under	6	0.1529311	0.0345584	0.1751757	-0.0250627	0.1549757	-0.0855248	0.1176478	-0.1461177	0.0685135	-0.2057211	0.0095985	-0.2581074	-0.0762175	-0.2727972	-0.1893422	0.1546959	-0.169775	0.1420668	-0.2028248	0.1223879	-0.0766373	0.08461	-0.0656695	0.0708714	-0.1372604	0.0310449	-0.0846624	-0.0138128	0.1660879	-0.0544939	0.1349876	-0.1204003	0.09335	-0.1732843	0.041382	-0.2260424	-0.0199414	-0.2626751	0.1323054	0.0540995	0.1046329	0.0755315	0.0743557	0.0938153	0.0425952	0.1092534	0.0100214	0.1233503	-0.0234005	0.1356982	-0.0572881	0.1453534	-0.0912131	0.1520588	-0.1252436	0.1562834	-0.1590844	0.1583605
