ID	Individual	sex	genus	species	size	flight	node	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42	ProcCoord43	ProcCoord44	ProcCoord45	ProcCoord46	ProcCoord47	ProcCoord48	ProcCoord49	ProcCoord50	ProcCoord51	ProcCoord52	ProcCoord53	ProcCoord54	ProcCoord55	ProcCoord56	ProcCoord57	ProcCoord58
1	PB13-0001	M	Morpho	hercules	15.98824	can	23	0.1694977	0.0156834	0.1836005	-0.0254077	0.1730156	-0.0888825	0.1143395	-0.1535736	0.0668637	-0.2177325	0.0095998	-0.2574766	-0.0690505	-0.2384628	-0.2019175	0.1426194	-0.1727967	0.1316696	-0.206638	0.1109874	-0.0889705	0.0836907	-0.0699848	0.0665587	-0.1577079	0.0469766	-0.0983599	-0.0023244	0.1759776	-0.0577214	0.1321137	-0.1218643	0.0848383	-0.1701944	0.0362079	-0.2228871	-0.0166272	-0.2454435	0.1390544	0.0553893	0.1113065	0.0788615	0.0790263	0.0967517	0.0458483	0.1109957	0.0122305	0.1236213	-0.0220709	0.1342924	-0.0566141	0.1424394	-0.0905988	0.1497395	-0.12448	0.154184	-0.1577032	0.1575102
2	PB13-0002	M	Morpho	hercules	14.33649	can	23	0.1584594	0.0239553	0.174217	-0.0342212	0.1557806	-0.0933872	0.1118862	-0.1471453	0.0737496	-0.2121862	0.0139892	-0.2701904	-0.0693114	-0.2588928	-0.1938607	0.1433516	-0.1656609	0.1292645	-0.1986288	0.1087743	-0.0835622	0.0789259	-0.0669733	0.0654174	-0.146221	0.0432255	-0.0905255	-0.0102535	0.1648156	-0.0549072	0.1276689	-0.116782	0.08457	-0.1693169	0.0389524	-0.2256511	-0.0194764	-0.2542166	0.1370755	0.0569467	0.108795	0.0800906	0.0779561	0.0990982	0.0467816	0.1170081	0.0139299	0.1331331	-0.0210904	0.1452192	-0.056648	0.1527656	-0.0915402	0.1559133	-0.1258502	0.1567187	-0.1592784	0.1573424
3	PB13-0003	M	Morpho	hercules	14.51418	can	23	0.1670536	0.0215762	0.186436	-0.0351954	0.1626238	-0.0939474	0.1160977	-0.1498469	0.0709527	-0.2106305	0.0121942	-0.2585992	-0.0676239	-0.248241	-0.1985538	0.1432117	-0.1675347	0.1314558	-0.2015419	0.1111648	-0.0935184	0.0858021	-0.0750143	0.0690681	-0.152769	0.0475186	-0.0946329	-0.0028132	0.1726427	-0.0592204	0.1332149	-0.1218507	0.086686	-0.1707052	0.0365494	-0.2232828	-0.0182336	-0.2471766	0.1375017	0.0557665	0.1094651	0.0786509	0.077036	0.0952908	0.0450742	0.1115693	0.0116071	0.1248608	-0.0226931	0.1359248	-0.0570762	0.145099	-0.0912249	0.1517213	-0.1255359	0.1540456	-0.1591825	0.158783
4	PB13-0004	F	Morpho	hercules	14.0929	can	23	0.168845	0.0274282	0.1790554	-0.0218081	0.1593165	-0.0794066	0.1186077	-0.1416627	0.0742361	-0.2089062	0.0029197	-0.2739349	-0.0856217	-0.2574484	-0.1954812	0.1471697	-0.1679584	0.1353858	-0.2022173	0.1162835	-0.0848758	0.0809685	-0.0637105	0.0614462	-0.1439471	0.0361835	-0.0857917	-0.0217304	0.163513	-0.0541195	0.1274665	-0.1161279	0.0856721	-0.1686558	0.0374069	-0.2226686	-0.0198078	-0.2584323	0.1410711	0.0612252	0.1089318	0.0799202	0.0767387	0.0954477	0.044516	0.1103854	0.0117047	0.1245168	-0.0216964	0.1376191	-0.0560229	0.1463522	-0.0903307	0.1510525	-0.1246002	0.1546013	-0.1579395	0.1589159
5	PB13-0005	F	Morpho	hercules	14.62372	can	23	0.1581463	0.043391	0.1806259	-0.0215601	0.1668087	-0.092433	0.1222171	-0.1591385	0.0747676	-0.2193598	-0.0028151	-0.2585175	-0.0935749	-0.242031	-0.1981866	0.1466997	-0.1674924	0.1329902	-0.2027963	0.1103036	-0.0704757	0.0747211	-0.0544003	0.0581342	-0.142922	0.0375678	-0.0815899	-0.0220833	0.1670344	-0.0540956	0.1378184	-0.124292	0.0937163	-0.1759133	0.0377906	-0.2246798	-0.0203642	-0.2472586	0.1359279	0.0624086	0.104835	0.0799205	0.0732405	0.0961188	0.0411419	0.1114851	0.0086915	0.1267027	-0.0250655	0.1393652	-0.0594065	0.1490387	-0.0937999	0.1551126	-0.1281338	0.1579793	-0.161739	0.1594234
6	PB13-0006	M	Morpho	hercules	14.34147	can	23	0.1603587	0.0208972	0.1725017	-0.0371152	0.156948	-0.0955401	0.1145364	-0.1504794	0.0742624	-0.2152931	0.0223215	-0.2687456	-0.0524043	-0.2560059	-0.193598	0.1495373	-0.1679258	0.1358516	-0.1999581	0.1183177	-0.0949947	0.0879566	-0.0762692	0.0717594	-0.1516321	0.048003	-0.0952601	-0.0045794	0.1613806	-0.054284	0.1280848	-0.1169991	0.084191	-0.1687271	0.04067	-0.2268792	-0.0175196	-0.2495488	0.1352261	0.0529763	0.1085638	0.0761382	0.0786504	0.0961754	0.0463171	0.1119671	0.0130146	0.1253426	-0.0211566	0.1364301	-0.0554943	0.1453476	-0.0896119	0.1521728	-0.1236996	0.1568131	-0.1575025	0.1585108
7	PB13-0007	M	Morpho	hercules	15.166	can	23	0.1524804	0.0308005	0.1766581	-0.0321309	0.1625662	-0.0908849	0.1163874	-0.1594838	0.0755071	-0.2158951	0.0090216	-0.2655999	-0.0749968	-0.2506099	-0.1916406	0.1427457	-0.1657955	0.1285335	-0.1963526	0.107614	-0.0819435	0.0805432	-0.0650697	0.0621148	-0.1514422	0.0440908	-0.0952673	-0.0064819	0.1668395	-0.0547739	0.1335672	-0.1209827	0.0867327	-0.1698835	0.0378144	-0.2236714	-0.0195867	-0.2530136	0.135303	0.0561607	0.1092198	0.0809684	0.0791197	0.1021792	0.0462074	0.1186696	0.0120488	0.1310946	-0.022564	0.1416297	-0.0573969	0.1497488	-0.0919727	0.154222	-0.1261886	0.1558465	-0.1592564	0.1564493
8	PB13-0008	M	Morpho	hercules	14.74976	can	23	0.1586592	0.0291017	0.1829757	-0.0376864	0.1636603	-0.0938792	0.1154386	-0.1501244	0.0734708	-0.2111695	0.0064034	-0.2676876	-0.0689297	-0.2540218	-0.1956519	0.1438295	-0.1709559	0.1285669	-0.2004869	0.1102012	-0.0870954	0.082187	-0.0646552	0.0620977	-0.1506259	0.0439804	-0.0935989	-0.0051256	0.170311	-0.0572885	0.1292383	-0.1183039	0.0822505	-0.1673605	0.032896	-0.2185489	-0.019038	-0.2525544	0.138546	0.0572338	0.1119101	0.0824927	0.0795153	0.1011468	0.0466093	0.1163996	0.0129474	0.1298306	-0.0218608	0.1400983	-0.0567541	0.1471136	-0.0911831	0.1508993	-0.1254159	0.1529916	-0.1585804	0.1555798
9	PB13-0009	M	Morpho	hercules	14.71726	can	23	0.1474509	0.0205991	0.172672	-0.038488	0.158722	-0.0940452	0.1196486	-0.1649351	0.0764427	-0.2189606	0.021745	-0.2538385	-0.0528604	-0.2485338	-0.1953273	0.1526176	-0.1647047	0.1377907	-0.2004595	0.1154329	-0.0878523	0.0858807	-0.070589	0.0667807	-0.1525776	0.0485369	-0.0954137	-0.0031895	0.1652605	-0.0546916	0.1403402	-0.1242473	0.0957616	-0.1768311	0.0402079	-0.2262841	-0.0189463	-0.2434875	0.127257	0.0487906	0.1043284	0.0741454	0.074823	0.0940256	0.0427634	0.1096316	0.0101929	0.1245038	-0.0233072	0.1376511	-0.0570168	0.1495803	-0.0914807	0.1573798	-0.1261902	0.161288	-0.1608908	0.1628973
10	PB13-0011	F	Morpho	hercules	14.90799	can	23	0.1531697	0.0251077	0.174863	-0.0353606	0.1550827	-0.0942138	0.1109601	-0.1551166	0.0731057	-0.2168958	0.0230509	-0.26254	-0.0580961	-0.253158	-0.1985877	0.1555012	-0.1703726	0.1393606	-0.205908	0.1193007	-0.0790416	0.0835865	-0.0626756	0.0674928	-0.1421844	0.0404162	-0.086746	-0.0129028	0.1624142	-0.0541008	0.1316802	-0.1196628	0.0887913	-0.1717113	0.0408724	-0.227544	-0.0186375	-0.2489361	0.1332564	0.0535546	0.1056227	0.075647	0.0749813	0.0940414	0.0434588	0.1107477	0.010782	0.1256058	-0.0233483	0.1371446	-0.057663	0.1466746	-0.091831	0.154175	-0.1261904	0.1590901	-0.160809	0.164696
11	PB13-0012	F	Morpho	hercules	13.40631	can	23	0.1785581	0.0242673	0.1941018	-0.0276914	0.1701952	-0.0809391	0.1274622	-0.1448449	0.0723459	-0.2049247	-0.0059081	-0.2554618	-0.0958388	-0.2520897	-0.2024553	0.1455522	-0.1711753	0.1317866	-0.2098556	0.1162554	-0.0848641	0.0759477	-0.0662878	0.0589207	-0.1486691	0.0325093	-0.0968039	-0.015369	0.173976	-0.0598254	0.1351268	-0.1222687	0.0881831	-0.1708605	0.0306497	-0.2126219	-0.0201856	-0.2421593	0.1420773	0.0614465	0.1106238	0.0807995	0.0783577	0.0974579	0.0453026	0.1115554	0.0114525	0.123357	-0.0229322	0.1334212	-0.0574536	0.1409602	-0.0916139	0.1470127	-0.1257307	0.1513221	-0.1586386	0.1564849
12	PB13-0013	F	Morpho	hercules	14.95104	can	23	0.1653623	0.0256378	0.1823038	-0.0318807	0.1613651	-0.0874646	0.1177443	-0.1507548	0.0705946	-0.215589	0.0026198	-0.2608187	-0.0721453	-0.2477626	-0.2096065	0.1435722	-0.1724976	0.1345581	-0.2086952	0.1145305	-0.0800849	0.0791492	-0.0614682	0.0614307	-0.1438385	0.041167	-0.081689	-0.0164629	0.1681306	-0.0568481	0.1331235	-0.1211391	0.0881679	-0.1714939	0.0362652	-0.2213349	-0.017951	-0.245448	0.1365089	0.0564125	0.1066734	0.0761132	0.0766694	0.0955704	0.0449887	0.1124196	0.011875	0.1266224	-0.0222184	0.1385522	-0.056608	0.1482046	-0.090999	0.1547291	-0.1253586	0.1581238	-0.159232	0.160204
13	PB13-0014	M	Morpho	hercules	14.27261	can	23	0.157607	0.0203302	0.1804016	-0.0286819	0.1642173	-0.0904466	0.117724	-0.1519745	0.0708768	-0.2138315	0.0076211	-0.2594065	-0.0664767	-0.2540099	-0.1946955	0.1454786	-0.1673189	0.1308733	-0.2026284	0.1130816	-0.0871104	0.0810391	-0.0693745	0.0620738	-0.1530249	0.044757	-0.1005006	-0.0028221	0.1701208	-0.0563701	0.1398453	-0.1262932	0.0871167	-0.1702738	0.0364832	-0.2216259	-0.0195379	-0.2458268	0.1354905	0.0543181	0.1105018	0.0801456	0.0787488	0.0993382	0.0458041	0.1143396	0.0121001	0.1269329	-0.0223423	0.1373201	-0.0567691	0.1460518	-0.091006	0.1520213	-0.1252083	0.1553032	-0.1586656	0.1581579
14	PB13-0015	M	Morpho	hercules	14.87419	can	23	0.1588594	0.0238159	0.1747146	-0.0361013	0.1556067	-0.0945352	0.1148062	-0.1476327	0.0774214	-0.2145398	0.0155331	-0.2643105	-0.0511277	-0.2628737	-0.1959145	0.1514867	-0.1651202	0.1371312	-0.2024225	0.1212514	-0.0905835	0.0839056	-0.0691389	0.0621222	-0.1469231	0.0438236	-0.0948892	-0.0068222	0.1612809	-0.0540397	0.1284525	-0.117226	0.0833464	-0.1686051	0.0389532	-0.224351	-0.0197768	-0.2517261	0.1359624	0.0545052	0.1093881	0.0785781	0.0775714	0.0964165	0.0446015	0.1100505	0.0113203	0.1228083	-0.0225455	0.1344925	-0.0563188	0.1452347	-0.0900534	0.1538666	-0.1242107	0.1593938	-0.1587935	0.1638804
15	PB13-0016	M	Morpho	hercules	15.16644	can	23	0.1569272	0.0240533	0.1810555	-0.0255327	0.1645942	-0.0827291	0.1159437	-0.1485487	0.0701028	-0.2169086	0.0055269	-0.2659933	-0.0663957	-0.2541032	-0.1936148	0.1467127	-0.1692404	0.1323858	-0.2008002	0.1138905	-0.0860961	0.0837623	-0.0673293	0.064774	-0.1505648	0.0456517	-0.0983344	-0.0035808	0.171306	-0.0567936	0.1325388	-0.1203421	0.0869175	-0.1700682	0.0403152	-0.2262819	-0.0187217	-0.2512691	0.1343755	0.0534235	0.1076422	0.0764836	0.078127	0.0970509	0.0456445	0.1128541	0.0117403	0.1243354	-0.0225806	0.1346158	-0.0565272	0.144856	-0.0903725	0.152572	-0.1243769	0.1570199	-0.1578028	0.1577096
16	PB13-0017	F	Morpho	hercules	13.6237	can	23	0.1625978	0.0289464	0.1813966	-0.0251253	0.1615487	-0.0936932	0.1167841	-0.1536476	0.0744774	-0.2160411	0.0061324	-0.265038	-0.0669663	-0.2548995	-0.201431	0.1522777	-0.1717239	0.1373194	-0.2086523	0.1172555	-0.0833044	0.0816222	-0.0575445	0.0583961	-0.1487452	0.0487487	-0.0885969	-0.0073521	0.1648483	-0.0550378	0.1334424	-0.121268	0.088176	-0.1712636	0.0351628	-0.2196417	-0.0179614	-0.2425481	0.1379935	0.0575108	0.1082389	0.0782394	0.0763119	0.0946893	0.0440746	0.109778	0.0107559	0.1224101	-0.0234704	0.132678	-0.0575967	0.1419617	-0.0914785	0.1492631	-0.1254236	0.1547782	-0.1590463	0.1596816
17	PB13-0018	F	Morpho	hercules	11.95042	can	23	0.1673545	0.0239796	0.1788437	-0.031802	0.1594051	-0.0921092	0.1187583	-0.153096	0.0725152	-0.2113285	0.0126867	-0.2609089	-0.0691085	-0.2501506	-0.1995947	0.1549066	-0.176953	0.1398392	-0.2110425	0.12378	-0.0848342	0.0825557	-0.0617928	0.0618592	-0.1456947	0.0426483	-0.0855015	-0.0122413	0.164843	-0.0545422	0.1353587	-0.1214352	0.0891952	-0.1706285	0.0376208	-0.2223854	-0.0179694	-0.2455321	0.1357116	0.0558859	0.1072284	0.0772514	0.0757578	0.094183	0.0436263	0.1092233	0.010515	0.1221027	-0.0236053	0.1324966	-0.0575647	0.1421492	-0.0912646	0.1495322	-0.1254508	0.153908	-0.1590437	0.1598589
18	PB13-0021	F	Morpho	hercules	11.25867	can	23	0.1605514	0.0266636	0.1804473	-0.0309947	0.1596955	-0.0926504	0.1177547	-0.154521	0.0726873	-0.2101377	0.0148571	-0.2622069	-0.0637926	-0.2574074	-0.199262	0.1543587	-0.1705857	0.1380769	-0.2090393	0.1194397	-0.0829835	0.0839729	-0.0573263	0.0595691	-0.1504949	0.0473225	-0.0849765	-0.0111073	0.1674664	-0.0555446	0.1338837	-0.120715	0.0877609	-0.169691	0.03649	-0.2219269	-0.0195075	-0.2455943	0.1343761	0.0552488	0.1051343	0.0751806	0.0740654	0.092194	0.0420414	0.1071626	0.0092448	0.1208088	-0.0244433	0.132959	-0.0575057	0.1453684	-0.0913871	0.1528725	-0.1254642	0.158447	-0.1596877	0.1628521
19	PB13-0023	M	Morpho	hercules	14.20667	can	23	0.1596436	0.038882	0.1798553	-0.0317807	0.1573854	-0.0951032	0.1098191	-0.150647	0.0727908	-0.2201135	0.0123068	-0.2667999	-0.0659035	-0.2539115	-0.1867559	0.1449258	-0.1644377	0.1299842	-0.1961381	0.1118632	-0.0937415	0.0850548	-0.0721027	0.0641229	-0.1518187	0.0508729	-0.100407	0.0026849	0.1669354	-0.0563666	0.1306175	-0.1196989	0.0876892	-0.1713396	0.0409377	-0.2278014	-0.0200678	-0.2534805	0.139293	0.0601696	0.1098322	0.0816172	0.0779544	0.0988099	0.0451395	0.1127389	0.0118823	0.1256424	-0.022131	0.1368998	-0.0564047	0.1456373	-0.090487	0.1511906	-0.1244007	0.1531538	-0.1572859	0.1527928
20	PB13-0024	M	Morpho	hercules	13.7342	can	23	0.1573695	0.0263256	0.1779903	-0.0338552	0.1579995	-0.0890776	0.1094185	-0.1519557	0.0701445	-0.2153895	0.0135404	-0.2670351	-0.0612504	-0.2549624	-0.1959389	0.1446606	-0.1668674	0.1320699	-0.2009621	0.107521	-0.0864995	0.0841755	-0.0621978	0.0619633	-0.1515173	0.0458534	-0.0948174	-0.0053015	0.16519	-0.0555949	0.1296142	-0.1184756	0.0846126	-0.1690372	0.0398728	-0.2262908	-0.0195279	-0.2539789	0.1370002	0.0560162	0.1101404	0.0806596	0.0782927	0.0989672	0.0456321	0.1137042	0.0126046	0.1276064	-0.0213365	0.1397679	-0.055698	0.149547	-0.0901742	0.1559383	-0.1245736	0.1580831	-0.1580613	0.1580951
21	PB13-0025	M	Morpho	hercules	12.7393	can	23	0.1566049	0.0157301	0.18182	-0.0396222	0.1642524	-0.0968992	0.1163815	-0.1508164	0.0752434	-0.2120989	0.0122832	-0.2607199	-0.0542533	-0.2520566	-0.1946965	0.1445016	-0.1690856	0.1320086	-0.2030233	0.1114618	-0.0973946	0.0896462	-0.0693509	0.0685312	-0.1555404	0.053041	-0.096642	0.0062085	0.1729335	-0.0572565	0.1353127	-0.1229721	0.089557	-0.1715634	0.0382869	-0.2232305	-0.0179474	-0.245644	0.1277927	0.0482476	0.1054818	0.0744765	0.0767411	0.0955326	0.0450252	0.1122602	0.012142	0.126646	-0.0216979	0.1391278	-0.0562025	0.1482645	-0.0906594	0.1534795	-0.1249525	0.1559297	-0.1584119	0.1577863
22	PB13-0026	M	Morpho	hercules	13.32677	can	23	0.1656585	0.0124636	0.182161	-0.0347692	0.1615723	-0.0894757	0.1174103	-0.1464375	0.0757232	-0.2131697	0.0143657	-0.2609829	-0.0578103	-0.2527375	-0.2011746	0.1502617	-0.1738671	0.1363211	-0.2091609	0.1191006	-0.0870129	0.0836036	-0.0648448	0.0621025	-0.1558054	0.051015	-0.096896	0.0032245	0.1687911	-0.0568281	0.1318991	-0.1196228	0.0873459	-0.1705918	0.0372678	-0.2219134	-0.0175419	-0.246144	0.1324467	0.0505444	0.106822	0.074159	0.0762573	0.0924772	0.0450588	0.1095909	0.0124391	0.12434	-0.0219533	0.1344778	-0.0562921	0.1432682	-0.0902524	0.1505387	-0.1244022	0.1550432	-0.158205	0.1601405
23	PB13-0027	M	Morpho	hercules	13.88509	can	23	0.1606047	0.0182945	0.1738089	-0.0410526	0.1497311	-0.0924322	0.109407	-0.1499246	0.0784665	-0.2203821	0.024662	-0.2680138	-0.0480959	-0.2552802	-0.1939399	0.1512396	-0.1660779	0.1362877	-0.1997655	0.1162046	-0.0928156	0.0900467	-0.0721616	0.0700847	-0.1527306	0.0531087	-0.0927132	-0.0001188	0.1624786	-0.0546603	0.1244787	-0.1144478	0.0880569	-0.1715608	0.0435242	-0.2297029	-0.0180061	-0.2506438	0.134055	0.0533091	0.1070801	0.0761769	0.0764776	0.0948141	0.0444025	0.1103476	0.0112163	0.1234705	-0.0224231	0.1358248	-0.0562765	0.1463908	-0.0902956	0.1539982	-0.1245274	0.1585836	-0.1586212	0.1600379
24	PB13-0028	M	Morpho	hercules	13.13238	can	23	0.1547003	0.0330048	0.1736582	-0.0264977	0.1548302	-0.0845543	0.1167686	-0.152039	0.0750534	-0.2189369	0.0088124	-0.27045	-0.0684305	-0.2621862	-0.1921351	0.1457099	-0.1611773	0.1327367	-0.1975076	0.1150163	-0.083858	0.0845162	-0.0645663	0.0638487	-0.149208	0.047884	-0.0949981	-0.0033861	0.161592	-0.0536208	0.1303811	-0.118185	0.090492	-0.1718629	0.0403703	-0.2257921	-0.0203363	-0.2564456	0.1362443	0.056998	0.107565	0.0788103	0.0764922	0.0964297	0.0447949	0.1125302	0.0120752	0.1270178	-0.021887	0.1388297	-0.0563697	0.1470957	-0.0906336	0.1521273	-0.1247915	0.1550105	-0.1579311	0.1563908
25	PB13-0029	M	Morpho	hercules	12.82544	can	23	0.161539	0.0331401	0.1806237	-0.0208072	0.1640867	-0.0817574	0.1151179	-0.1483176	0.0695663	-0.2190399	0.0023538	-0.2689906	-0.0747882	-0.2575602	-0.1900941	0.1480289	-0.1652318	0.1315557	-0.2016375	0.1139733	-0.0835144	0.0829202	-0.0622673	0.0643855	-0.1518273	0.0404709	-0.0922866	-0.0112079	0.1686872	-0.0553434	0.131938	-0.1195236	0.0864005	-0.1692735	0.037705	-0.2223342	-0.0199052	-0.2541302	0.137355	0.0585417	0.1080514	0.0794398	0.0766633	0.0967679	0.0441377	0.1110926	0.0108355	0.1236301	-0.0229794	0.1352628	-0.056764	0.145512	-0.0907404	0.1517085	-0.1248664	0.154796	-0.1581582	0.1570599
26	PB13-0030	M	Morpho	hercules	14.27608	can	23	0.1447474	0.0378528	0.1734821	-0.0379671	0.1584457	-0.0971162	0.1180619	-0.1564036	0.0818037	-0.2218005	0.013413	-0.2706963	-0.0625075	-0.2545407	-0.1901348	0.1489066	-0.1644755	0.1349692	-0.1977834	0.1143551	-0.0822772	0.0854894	-0.0642882	0.0680249	-0.1480033	0.0503757	-0.0941925	0.0023488	0.1647747	-0.0536898	0.1321209	-0.1192614	0.0903413	-0.1715772	0.0407677	-0.2262369	-0.0186264	-0.2505147	0.1311851	0.0534344	0.1040455	0.0755578	0.0746389	0.0955105	0.0432201	0.1123162	0.0103657	0.1264461	-0.0234929	0.1383434	-0.0577163	0.1477719	-0.0919692	0.1537473	-0.1261827	0.1567296	-0.159764	0.1576247
27	PB13-0031	M	Morpho	hercules	14.42439	can	23	0.1630255	0.0165597	0.178489	-0.0421896	0.1597259	-0.0935825	0.1181687	-0.1476575	0.078933	-0.2091689	0.0153323	-0.2607345	-0.0627144	-0.2535148	-0.1966108	0.1479866	-0.169446	0.1341202	-0.2050687	0.1136468	-0.0938084	0.0865035	-0.0691872	0.0655732	-0.1530595	0.0518268	-0.0999185	0.0060989	0.1691567	-0.0570031	0.1346035	-0.1220511	0.0886315	-0.1716701	0.0376631	-0.2232914	-0.0183081	-0.2464435	0.1343104	0.0528504	0.1083739	0.0767771	0.0778524	0.0962454	0.0454423	0.1119391	0.0121413	0.1255149	-0.022163	0.1364106	-0.0566706	0.1445229	-0.0909601	0.1498094	-0.1251783	0.153485	-0.1587559	0.1574366
28	PB13-0032	M	Morpho	hercules	13.86308	can	23	0.1646348	0.0056234	0.18118	-0.0440394	0.1615278	-0.093923	0.1163993	-0.1509441	0.0800194	-0.2103246	0.0233533	-0.2551865	-0.0551351	-0.2468591	-0.2036747	0.1522271	-0.1761802	0.1388619	-0.209566	0.1194069	-0.0933228	0.0896133	-0.0690475	0.0661876	-0.1579261	0.0540742	-0.0901852	-0.0051711	0.171308	-0.0580742	0.1333222	-0.1209328	0.0871831	-0.1708871	0.0381618	-0.223523	-0.0167722	-0.2393962	0.1320361	0.0503075	0.1055413	0.0726668	0.0752456	0.0910082	0.0438407	0.1075086	0.0111868	0.1218457	-0.022586	0.1338486	-0.0564928	0.144255	-0.0905115	0.1518152	-0.124598	0.157739	-0.1589419	0.1622721
29	PB13-0046	M	Morpho	telemachus	14.04768	can	23	0.1605181	0.0177601	0.1806199	-0.0341432	0.1624724	-0.0885733	0.1173462	-0.1466256	0.0746465	-0.2149466	0.0161757	-0.26128	-0.0605016	-0.2570378	-0.1961005	0.1469864	-0.1730226	0.1371104	-0.2029552	0.1211875	-0.0923559	0.0888792	-0.073491	0.0715797	-0.1558633	0.0583261	-0.1025342	0.0080631	0.1705746	-0.0574801	0.134595	-0.122091	0.0899084	-0.1722168	0.0386135	-0.2238165	-0.0190383	-0.2449375	0.1353792	0.0526298	0.1100257	0.0773801	0.078512	0.0956523	0.0455289	0.109271	0.0117311	0.1195268	-0.0226846	0.1285386	-0.0569077	0.1375879	-0.0903819	0.1456638	-0.1240352	0.1510749	-0.1567751	0.1559304
30	PB13-0047	M	Morpho	telemachus	12.05671	can	23	0.1572438	0.0302395	0.1800065	-0.025198	0.1607961	-0.0850015	0.1157258	-0.1494807	0.072576	-0.2159496	0.0117904	-0.2671774	-0.0667029	-0.2633056	-0.1928637	0.149198	-0.1661023	0.1378885	-0.1984395	0.1215646	-0.0822919	0.0854689	-0.0656564	0.069245	-0.148391	0.0515341	-0.0945563	0.0028144	0.1673432	-0.0553337	0.1316469	-0.1191383	0.0890319	-0.1708058	0.039605	-0.2248123	-0.0204292	-0.2570004	0.1344838	0.055528	0.1059236	0.0764973	0.0752094	0.0943859	0.0429351	0.1087563	0.0095669	0.1205068	-0.0242876	0.131458	-0.0581905	0.1407327	-0.0917678	0.1482659	-0.1255196	0.1530946	-0.1586858	0.1560248
31	PB13-0048	M	Morpho	telemachus	13.2594	can	23	0.1484037	0.0309557	0.1838726	-0.0359105	0.1650996	-0.0865302	0.1192584	-0.151895	0.0745823	-0.2150032	0.0124025	-0.2622949	-0.0630493	-0.2631091	-0.1917329	0.1502	-0.1691265	0.1365263	-0.1986744	0.1186483	-0.0839623	0.0893745	-0.0627139	0.0709668	-0.1506452	0.0512403	-0.0990469	0.0028496	0.1720964	-0.0577362	0.1350445	-0.1218929	0.0898844	-0.1717347	0.0368867	-0.2217368	-0.0210156	-0.2492599	0.1311726	0.0520637	0.1043282	0.074373	0.074986	0.0943367	0.0434424	0.1108213	0.0100215	0.122763	-0.024452	0.1314976	-0.0585871	0.1404165	-0.0925366	0.147121	-0.1264507	0.1534563	-0.1594885	0.1594929
32	PB13-0050	M	Morpho	telemachus	11.48157	can	23	0.164462	0.0303108	0.1853459	-0.0272228	0.1646574	-0.0870764	0.1159327	-0.1506126	0.0674701	-0.2117072	0.0005662	-0.2577728	-0.0686875	-0.256358	-0.1960882	0.1449043	-0.1711357	0.1334401	-0.2021704	0.1166591	-0.0912859	0.0841413	-0.0715884	0.0661945	-0.1482214	0.0448597	-0.0969547	0.0017086	0.1688215	-0.0571461	0.1351302	-0.1229894	0.0915797	-0.1737933	0.0371609	-0.2224224	-0.0207435	-0.2520169	0.1384953	0.0573477	0.1094105	0.0784053	0.0786881	0.0972708	0.0461339	0.1124968	0.0126106	0.1251743	-0.0217447	0.1352144	-0.0561973	0.1424872	-0.0902038	0.1474389	-0.1241776	0.1497168	-0.1572658	0.1513471
33	PB13-0051	M	Morpho	telemachus	13.20464	can	23	0.1659605	0.0289872	0.1879566	-0.0262712	0.1695439	-0.0801029	0.1225216	-0.141439	0.0713699	-0.2151352	-0.0027012	-0.2630793	-0.0839721	-0.2536864	-0.1952914	0.1407303	-0.1684009	0.1316479	-0.1997238	0.115255	-0.0877761	0.0803847	-0.0708536	0.0633859	-0.1519214	0.0467868	-0.1031445	-0.0001647	0.1726012	-0.0580204	0.1318719	-0.1201328	0.0876645	-0.1707484	0.0366187	-0.2210375	-0.0202583	-0.253709	0.1409794	0.0595756	0.1111742	0.0815569	0.0786821	0.0981454	0.0456856	0.1118042	0.0120773	0.1236502	-0.0222278	0.1331761	-0.0565588	0.1403389	-0.0905533	0.1455143	-0.1246959	0.1491234	-0.156628	0.1534642
34	PB13-0052	M	Morpho	telemachus	13.89061	can	23	0.1474245	0.0294407	0.1774737	-0.0326725	0.1642825	-0.0864413	0.1194466	-0.1544963	0.0688365	-0.2231571	0.0101342	-0.26198	-0.0633641	-0.2562692	-0.1925404	0.1431474	-0.1668992	0.1335879	-0.1975427	0.1151262	-0.0843772	0.0880286	-0.0647551	0.0694623	-0.1512251	0.0477574	-0.0995813	-0.0007019	0.1691471	-0.0556099	0.1378582	-0.1238145	0.0899657	-0.1721773	0.0385085	-0.2240281	-0.0202127	-0.2495544	0.130536	0.0513621	0.1068062	0.0769377	0.0777914	0.0985642	0.0456422	0.1154218	0.0119987	0.1285344	-0.022462	0.1391797	-0.0572371	0.1459163	-0.0915075	0.1506075	-0.1256573	0.1530248	-0.1584905	0.1548034
