60.119 53.9426 48.7902 25.3249 17.4493 4.7577 0 0 0 0 0 0 0 0 0 0 0
53.9426 60.119 48.7902 25.3249 17.4493 4.7577 0 0 0 0 0 0 0 0 0 0 0
48.7902 48.7902 60.119 25.3249 17.4493 4.7577 0 0 0 0 0 0 0 0 0 0 0
25.3249 25.3249 25.3249 60.119 17.4493 4.7577 0 0 0 0 0 0 0 0 0 0 0
17.4493 17.4493 17.4493 17.4493 60.119 4.7577 0 0 0 0 0 0 0 0 0 0 0
4.7577 4.7577 4.7577 4.7577 4.7577 60.119 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 60.1191 47.1352 41.8296 41.8296 41.8296 25.6171 25.6171 25.6171 25.6171 22.5888 22.5888
0 0 0 0 0 0 47.1352 60.1191 41.8296 41.8296 41.8296 25.6171 25.6171 25.6171 25.6171 22.5888 22.5888
0 0 0 0 0 0 41.8296 41.8296 60.1191 51.8285 50.1175 25.6171 25.6171 25.6171 25.6171 22.5888 22.5888
0 0 0 0 0 0 41.8296 41.8296 51.8285 60.1191 50.1175 25.6171 25.6171 25.6171 25.6171 22.5888 22.5888
0 0 0 0 0 0 41.8296 41.8296 50.1175 50.1175 60.1191 25.6171 25.6171 25.6171 25.6171 22.5888 22.5888
0 0 0 0 0 0 25.6171 25.6171 25.6171 25.6171 25.6171 60.1191 41.8428 39.2001 37.1302 22.5888 22.5888
0 0 0 0 0 0 25.6171 25.6171 25.6171 25.6171 25.6171 41.8428 60.1191 39.2001 37.1302 22.5888 22.5888
0 0 0 0 0 0 25.6171 25.6171 25.6171 25.6171 25.6171 39.2001 39.2001 60.1191 37.1302 22.5888 22.5888
0 0 0 0 0 0 25.6171 25.6171 25.6171 25.6171 25.6171 37.1302 37.1302 37.1302 60.1191 22.5888 22.5888
0 0 0 0 0 0 22.5888 22.5888 22.5888 22.5888 22.5888 22.5888 22.5888 22.5888 22.5888 60.1191 47.1185
0 0 0 0 0 0 22.5888 22.5888 22.5888 22.5888 22.5888 22.5888 22.5888 22.5888 22.5888 47.1185 60.1191
