Papilio_ambrax,Papilio_antimachus,Papilio_aristodemus,Papilio_cresphontes,Papilio_deiphobus,Papilio_gigon,Papilio_glaucus,Papilio_memnon,Papilio_phestus,Papilio_polytes,Papilio_polyxenes,Papilio_protenor,Papilio_slateri,Papilio_thoas,Papilio_troilus,Papilio_xuthus,Papilio_zelicaon
-0.04728069333333334,-0.037320078666666666,-0.04230262666666667,-0.04466708,-0.046660560000000004,-0.045718476,-0.05149726666666667,-0.045066173333333334,-0.043704737333333334,-0.043825088000000005,-0.05495013333333334,-0.047211512,-0.051042642666666665,-0.04416628533333333,-0.04418385866666667,-0.05371664,-0.05828315733333333
-0.09613193333333334,-0.12755354666666666,-0.08321229333333333,-0.05443589333333333,-0.11080601333333334,-0.11181253333333332,-0.03992050133333334,-0.10651802666666667,-0.13118664533333332,-0.07993534399999999,-0.06620087733333334,-0.007374174133333334,-0.12184761333333334,-0.06750956666666666,-0.04095246933333334,-0.05207762133333334,-0.09716956
-0.07194500666666666,-0.05093253333333333,-0.08847444666666666,-0.08243206266666667,-0.07659552,-0.07316304533333333,-0.08644618666666666,-0.06829599466666667,-0.08187777733333333,-0.07204012533333333,-0.09082147200000001,-0.06635773733333333,-0.07636933333333333,-0.07977445333333334,-0.07471094266666667,-0.08743506666666667,-0.09789930666666667
-0.14145186666666665,-0.16064088,-0.12374656,-0.10415174666666667,-0.1592322,-0.15769165999999998,-0.09550673333333333,-0.15155276,-0.17487713333333332,-0.12842285333333334,-0.11337917333333333,-0.060910528,-0.15401612,-0.12150180000000001,-0.09956156000000001,-0.09804768,-0.13690510666666666
-0.091673,-0.06649737066666667,-0.12558472,-0.11391801333333333,-0.09814992000000002,-0.0979698,-0.11575928,-0.08731458666666667,-0.11838369333333333,-0.09633642666666667,-0.12117463999999999,-0.08132177333333333,-0.100681488,-0.11068709333333333,-0.10007393333333332,-0.11716282666666666,-0.13336993333333333
-0.19225136,-0.1953767333333333,-0.18039592000000002,-0.16263173333333333,-0.21270202666666668,-0.21029744,-0.15700618666666666,-0.20284978666666667,-0.21800699999999998,-0.18190537333333334,-0.16816441333333335,-0.11536961333333333,-0.19328690666666667,-0.17845972,-0.16458358666666667,-0.14893045333333332,-0.18600569333333333
-0.10934751333333333,-0.08237899333333333,-0.1554576,-0.14353593333333334,-0.11731185866666667,-0.12127609333333333,-0.14314376,-0.10394628,-0.14488725333333333,-0.11832922666666668,-0.14734356,-0.09712712,-0.12493134666666666,-0.13779702666666666,-0.12164850666666666,-0.145007792,-0.16648425333333333
-0.24397290666666666,-0.22893325333333334,-0.24005068000000002,-0.22310816,-0.26715056,-0.2623609333333333,-0.21910906666666666,-0.25511072,-0.26726605333333336,-0.23657992000000003,-0.22476605333333335,-0.17016663999999998,-0.23170767999999997,-0.2386934,-0.2306972,-0.20133937333333332,-0.23684482666666667
-0.12515618666666667,-0.10220092,-0.17910910666666666,-0.16955876666666667,-0.13492490666666668,-0.14191624,-0.16990049333333335,-0.11838188000000001,-0.17289173333333335,-0.13879493333333331,-0.16939506000000001,-0.10474981333333333,-0.14763386666666667,-0.15888362666666667,-0.14132369333333333,-0.16808864,-0.19513846666666665
-0.2962606,-0.26144946666666663,-0.30454964,-0.28515008000000003,-0.32253790666666665,-0.31712361333333333,-0.2811664266666667,-0.30805214666666664,-0.31853908000000003,-0.2919988,-0.28325905333333334,-0.22767576,-0.27186110666666663,-0.3022499733333333,-0.29803266666666667,-0.25561768,-0.28926509333333333
